hmin4, hmax4, hmed4, mmin4, mmax4, mmed4
106, 115, 110, 100, 107, 103
109, 128, 112, 97, 104, 100
107, 117, 111, 92, 99, 95
96, 105, 100, 90, 97, 93
104, 117, 109, 96, 105, 100
107, 118, 111, 95, 105, 100
107, 119, 112, 93, 105, 97
94, 107, 99, 89, 97, 91
104, 113, 108, 97, 119, 100
106, 115, 109, 94, 109, 97
101, 115, 104, 87, 95, 91
91, 103, 95, 87, 93, 91
104, 114, 108, 97, 104, 100
104, 112, 107, 93, 101, 96
103, 109, 106, 87, 103, 91
93, 101, 95, 87, 93, 89
103, 114, 107, 91, 103, 95
101, 109, 105, 95, 101, 97
91, 101, 95, 85, 91, 89
101, 108, 104, 87, 97, 91
103, 120, 107, 93, 99, 96
101, 109, 104, 95, 103, 99
94, 103, 99, 88, 105, 91
104, 115, 109, 91, 97, 94
105, 122, 109, 94, 101, 97
104, 113, 107, 97, 114, 100
93, 103, 97, 87, 95, 91
103, 111, 107, 90, 97, 93
106, 119, 110, 95, 103, 99
103, 110, 107, 97, 103, 100
93, 103, 97, 88, 95, 91
104, 119, 108, 91, 97, 94
104, 113, 108, 90, 97, 93
93, 109, 97, 87, 95, 91
104, 117, 108, 97, 103, 100
105, 115, 110, 93, 101, 97
101, 113, 107, 89, 95, 91
91, 102, 95, 87, 93, 89
101, 110, 105, 93, 128, 97
105, 113, 107, 91, 99, 95
101, 109, 104, 87, 95, 91
91, 105, 95, 85, 100, 88
101, 118, 105, 94, 101, 97
101, 113, 106, 89, 96, 93
99, 111, 103, 87, 95, 90
93, 101, 95, 87, 101, 89
101, 109, 105, 93, 101, 97
104, 124, 107, 89, 99, 94
89, 98, 93, 83, 99, 86
99, 107, 103, 87, 94, 91
103, 112, 106, 91, 98, 95
101, 109, 105, 95, 107, 97
91, 99, 95, 87, 93, 89
102, 111, 105, 89, 95, 91
103, 116, 108, 93, 99, 95
101, 110, 105, 95, 101, 97
91, 100, 95, 85, 102, 89
101, 109, 105, 87, 94, 91
103, 111, 107, 91, 99, 95
101, 109, 104, 95, 101, 97
91, 101, 95, 87, 93, 89
101, 110, 105, 87, 95, 91
103, 111, 107, 93, 99, 96
101, 114, 104, 95, 101, 97
103, 111, 107, 93, 99, 96
101, 110, 105, 95, 101, 97
91, 106, 96, 87, 93, 89
101, 109, 105, 87, 95, 91
103, 111, 107, 91, 99, 95
101, 115, 105, 95, 101, 97
91, 101, 95, 85, 101, 89
101, 107, 104, 87, 95, 91
103, 120, 107, 93, 99, 95
101, 109, 105, 95, 113, 97
91, 100, 95, 87, 93, 89
101, 111, 105, 89, 95, 91
103, 118, 107, 91, 99, 95
101, 110, 105, 95, 101, 97
91, 107, 95, 85, 91, 89
101, 109, 104, 87, 95, 91
101, 109, 105, 93, 101, 97
104, 113, 107, 93, 109, 96
101, 110, 105, 88, 95, 91
93, 101, 96, 87, 101, 89
101, 107, 105, 93, 101, 97
103, 111, 107, 91, 99, 95
101, 109, 105, 87, 93, 91
91, 100, 95, 85, 91, 89
101, 115, 105, 93, 101, 98
103, 113, 107, 93, 99, 96
101, 111, 105, 87, 95, 91
93, 105, 95, 87, 93, 89
101, 109, 105, 93, 101, 97
103, 116, 107, 91, 98, 95
101, 117, 104, 87, 94, 91
91, 101, 95, 85, 95, 89
91, 101, 95, 87, 93, 89
102, 116, 105, 89, 95, 91
104, 111, 108, 93, 105, 95
101, 109, 105, 95, 101, 97
91, 105, 95, 85, 91, 89
101, 110, 105, 87, 104, 91
