Addr, hmin0, hmax0, hmed0, mmin0, mmax0, mmed0
0x7ff9b1c019c0, 99, 113, 103, 93, 130, 95
0x7ff9b1c01a00, 91, 111, 94, 85, 91, 87
0x7ff9b1c01a40, 101, 114, 103, 87, 93, 90
0x7ff9b1c01a80, 102, 118, 106, 91, 99, 95
0x7ff9b1c01ac0, 99, 114, 103, 93, 101, 96
0x7ff9b1c01b00, 89, 102, 93, 83, 91, 87
0x7ff9b1c01b40, 99, 114, 103, 85, 93, 89
0x7ff9b1c01b80, 101, 116, 105, 91, 99, 93
0x7ff9b1c01bc0, 99, 114, 103, 93, 100, 96
0x7ff9b1c01c00, 99, 112, 104, 85, 93, 89
0x7ff9b1c01c40, 89, 101, 92, 83, 91, 85
0x7ff9b1c01c80, 97, 109, 99, 91, 97, 94
0x7ff9b1c01cc0, 99, 116, 103, 89, 97, 93
0x7ff9b1c01d00, 99, 111, 103, 85, 93, 89
0x7ff9b1c01d40, 89, 105, 93, 83, 91, 87
0x7ff9b1c01d80, 99, 115, 103, 93, 99, 96
0x7ff9b1c01dc0, 101, 132, 105, 89, 97, 93
0x7ff9b1c01e00, 100, 114, 104, 86, 174, 90
0x7ff9b1c01e40, 91, 105, 95, 85, 93, 87
0x7ff9b1c01e80, 99, 111, 103, 93, 111, 99
0x7ff9b1c01ec0, 103, 126, 111, 92, 111, 99
0x7ff9b1c01f00, 99, 121, 104, 85, 93, 89
0x7ff9b1c01f40, 89, 99, 93, 83, 89, 87
0x7ff9b1c01f80, 99, 109, 103, 93, 103, 97
0x7ff9b1c01fc0, 99, 109, 105, 87, 95, 91
0x7ff9b1c02000, 97, 108, 101, 85, 91, 87
0x7ff9b1c02040, 89, 99, 93, 83, 90, 85
0x7ff9b1c02080, 97, 106, 101, 89, 97, 93
0x7ff9b1c020c0, 99, 111, 104, 89, 99, 93
0x7ff9b1c02100, 97, 106, 101, 83, 90, 87
0x7ff9b1c02140, 87, 99, 93, 81, 91, 85
0x7ff9b1c02180, 97, 107, 100, 91, 99, 93
0x7ff9b1c021c0, 99, 192, 105, 87, 108, 91
0x7ff9b1c02200, 97, 110, 103, 85, 91, 87
0x7ff9b1c02240, 89, 99, 91, 83, 91, 85
0x7ff9b1c02280, 97, 106, 101, 89, 96, 93
