hmin6, hmax6, hmed6, mmin6, mmax6, mmed6
93, 109, 97, 91, 97, 93
91, 101, 95, 91, 99, 93
98, 118, 102, 89, 97, 93
104, 111, 107, 94, 101, 97
100, 109, 103, 97, 113, 100
98, 108, 101, 91, 100, 95
99, 106, 102, 91, 102, 95
102, 115, 108, 94, 103, 97
99, 109, 103, 93, 101, 97
93, 107, 97, 91, 107, 94
98, 107, 102, 90, 97, 93
101, 109, 105, 91, 113, 94
98, 118, 101, 94, 103, 98
97, 105, 101, 94, 101, 97
101, 119, 104, 94, 101, 97
105, 117, 108, 91, 99, 95
94, 103, 98, 90, 113, 94
93, 105, 98, 91, 104, 93
97, 109, 101, 90, 106, 94
98, 113, 103, 90, 97, 93
91, 107, 95, 89, 95, 91
95, 105, 99, 94, 133, 97
102, 111, 105, 91, 106, 94
98, 109, 103, 92, 99, 95
91, 113, 97, 89, 95, 91
93, 103, 97, 91, 97, 93
97, 112, 102, 89, 95, 91
95, 105, 99, 87, 95, 91
92, 105, 96, 89, 95, 91
95, 111, 99, 91, 99, 95
99, 107, 103, 89, 95, 91
96, 114, 99, 89, 95, 92
96, 103, 100, 87, 104, 91
99, 105, 101, 89, 95, 91
93, 120, 97, 91, 97, 93
91, 98, 95, 89, 97, 91
97, 105, 99, 89, 103, 92
99, 113, 102, 89, 95, 91
95, 105, 99, 91, 103, 95
92, 107, 98, 91, 97, 94
99, 111, 103, 87, 97, 91
98, 105, 101, 89, 105, 91
93, 102, 97, 91, 105, 93
91, 101, 95, 89, 97, 93
98, 119, 103, 91, 99, 95
99, 109, 103, 89, 95, 91
95, 105, 99, 94, 111, 97
95, 104, 98, 91, 97, 94
101, 110, 105, 91, 97, 94
98, 117, 103, 90, 97, 93
93, 105, 97, 90, 97, 94
97, 104, 100, 93, 109, 97
102, 109, 106, 90, 97, 94
98, 109, 102, 91, 99, 95
95, 109, 98, 91, 99, 94
97, 106, 101, 94, 101, 97
100, 119, 105, 90, 99, 94
99, 107, 103, 90, 101, 93
94, 101, 97, 91, 97, 94
96, 105, 99, 93, 100, 97
102, 109, 105, 91, 101, 94
98, 113, 103, 91, 99, 95
95, 108, 99, 90, 97, 94
98, 108, 101, 94, 110, 97
95, 104, 98, 90, 101, 94
98, 106, 101, 94, 101, 97
102, 117, 106, 90, 99, 94
98, 107, 102, 91, 101, 95
94, 101, 97, 90, 109, 95
96, 105, 99, 93, 101, 96
100, 109, 105, 90, 103, 94
98, 115, 102, 90, 97, 93
93, 105, 98, 91, 99, 94
97, 111, 101, 94, 111, 97
102, 109, 105, 91, 99, 94
98, 113, 102, 91, 97, 95
93, 109, 97, 90, 97, 94
97, 105, 100, 93, 101, 97
101, 115, 105, 91, 99, 94
98, 110, 102, 90, 97, 93
98, 105, 101, 94, 105, 97
95, 103, 98, 91, 99, 94
98, 109, 103, 89, 99, 93
99, 115, 103, 89, 98, 91
95, 103, 99, 92, 101, 97
93, 104, 97, 91, 99, 94
98, 112, 103, 90, 101, 93
101, 110, 105, 91, 97, 94
98, 115, 101, 94, 101, 97
95, 105, 98, 91, 99, 94
98, 107, 102, 91, 99, 95
102, 116, 105, 91, 97, 94
96, 115, 101, 92, 99, 96
94, 112, 97, 91, 99, 94
98, 106, 102, 89, 97, 93
101, 110, 105, 91, 104, 94
102, 112, 106, 90, 99, 94
98, 107, 103, 91, 99, 95
95, 109, 99, 90, 99, 94
97, 105, 101, 94, 107, 97
102, 109, 105, 90, 109, 94
98, 108, 102, 90, 97, 93
93, 103, 97, 91, 99, 94
96, 112, 99, 93, 99, 96
102, 112, 105, 90, 97, 94
98, 107, 102, 91, 114, 95
95, 105, 99, 90, 97, 94
98, 107, 101, 93, 101, 97
100, 113, 105, 91, 97, 94
98, 107, 102, 90, 105, 93
94, 101, 97, 90, 114, 94
95, 107, 99, 93, 101, 97
98, 107, 103, 91, 132, 95
102, 111, 105, 91, 99, 94
97, 109, 101, 94, 101, 97
95, 108, 98, 91, 105, 94
98, 109, 103, 90, 99, 93
101, 115, 105, 91, 97, 94
96, 107, 100, 93, 101, 97
94, 109, 97, 91, 99, 94
98, 108, 102, 91, 99, 95
102, 118, 106, 91, 99, 95
97, 107, 101, 94, 102, 97
95, 109, 98, 91, 97, 94
98, 109, 103, 90, 97, 93
101, 108, 104, 91, 99, 94
96, 113, 100, 93, 101, 97
94, 105, 97, 91, 97, 94
98, 115, 102, 91, 103, 95
102, 111, 105, 91, 97, 94
97, 111, 101, 93, 101, 97
95, 103, 99, 91, 97, 94
98, 113, 103, 90, 97, 93
99, 109, 103, 89, 95, 91
93, 103, 97, 91, 99, 95
93, 109, 97, 91, 99, 94
95, 108, 100, 89, 97, 93
99, 109, 103, 89, 99, 93
97, 114, 101, 94, 116, 97
93, 103, 97, 89, 95, 91
95, 109, 99, 87, 95, 91
99, 105, 101, 89, 99, 91
93, 107, 97, 91, 97, 93
91, 99, 95, 87, 95, 91
99, 115, 103, 89, 102, 91
95, 105, 99, 89, 95, 92
93, 101, 95, 89, 95, 91
95, 112, 99, 91, 99, 95
97, 105, 101, 89, 95, 91
97, 111, 100, 87, 95, 91
91, 104, 95, 89, 95, 91
93, 121, 97, 91, 97, 93
99, 107, 103, 89, 95, 91
95, 120, 99, 89, 95, 91
93, 101, 95, 89, 95, 91
95, 112, 99, 91, 99, 95
97, 117, 102, 89, 112, 95
98, 127, 103, 90, 113, 95
91, 120, 95, 89, 110, 93
93, 101, 97, 91, 97, 93
95, 105, 99, 91, 108, 95
91, 100, 95, 89, 103, 91
95, 105, 99, 89, 95, 91
99, 110, 103, 89, 103, 91
93, 102, 97, 91, 105, 93
91, 99, 95, 89, 107, 91
95, 132, 99, 87, 95, 91
99, 107, 102, 89, 107, 91
95, 105, 99, 91, 98, 95
93, 101, 95, 89, 108, 91
96, 103, 99, 89, 99, 93
99, 107, 103, 89, 95, 91
93, 103, 99, 91, 104, 94
91, 99, 94, 89, 124, 91
95, 105, 99, 87, 103, 91
99, 114, 101, 89, 95, 91
93, 101, 96, 89, 102, 91
95, 103, 98, 91, 99, 95
99, 108, 103, 89, 105, 91
95, 107, 99, 89, 95, 92
91, 101, 95, 89, 107, 91
93, 103, 97, 91, 97, 93
98, 108, 102, 89, 95, 91
96, 105, 100, 87, 105, 91
93, 101, 95, 89, 95, 91
95, 104, 99, 91, 111, 95
99, 107, 103, 89, 103, 91
95, 105, 99, 89, 103, 92
91, 101, 95, 89, 128, 95
95, 111, 99, 91, 110, 95
97, 116, 102, 89, 111, 95
95, 110, 99, 87, 96, 91
98, 129, 104, 89, 109, 93
96, 115, 100, 87, 105, 91
89, 100, 95, 89, 95, 91
94, 111, 98, 91, 97, 93
99, 107, 102, 89, 95, 91
96, 103, 99, 89, 103, 92
93, 101, 95, 89, 95, 91
95, 103, 99, 91, 99, 95
97, 113, 102, 89, 95, 91
97, 105, 100, 87, 94, 91
91, 101, 95, 89, 105, 91
93, 103, 97, 91, 97, 93
99, 108, 103, 89, 95, 91
95, 113, 99, 89, 95, 92
93, 101, 95, 89, 95, 91
95, 104, 98, 91, 106, 95
95, 105, 99, 87, 101, 91
99, 106, 101, 89, 95, 91
93, 107, 97, 91, 97, 93
91, 99, 95, 89, 105, 91
96, 105, 99, 89, 105, 93
99, 109, 102, 89, 95, 91
95, 105, 99, 91, 101, 95
91, 105, 95, 89, 101, 91
95, 105, 99, 87, 95, 91
99, 106, 101, 89, 113, 91
93, 101, 97, 91, 97, 93
91, 101, 94, 89, 93, 91
95, 107, 99, 89, 103, 91
99, 107, 103, 89, 95, 91
95, 103, 99, 91, 105, 95
93, 101, 95, 89, 95, 91
91, 99, 95, 89, 95, 91
93, 102, 97, 91, 105, 93
97, 113, 101, 89, 95, 91
97, 105, 100, 87, 103, 91
93, 101, 95, 89, 95, 91
95, 105, 98, 91, 99, 95
99, 105, 103, 89, 107, 91
95, 103, 99, 89, 95, 92
91, 106, 95, 89, 107, 93
96, 106, 99, 93, 104, 97
99, 109, 103, 89, 95, 91
95, 107, 99, 87, 109, 93
93, 103, 98, 91, 99, 94
95, 101, 98, 91, 107, 95
99, 108, 103, 89, 95, 91
95, 105, 99, 89, 97, 92
93, 105, 98, 91, 109, 93
91, 100, 95, 89, 95, 91
95, 103, 99, 87, 103, 91
99, 106, 101, 89, 95, 91
95, 101, 98, 91, 99, 95
91, 100, 95, 89, 103, 93
99, 109, 103, 91, 99, 95
99, 110, 103, 89, 101, 91
93, 103, 97, 91, 100, 95
93, 103, 97, 91, 101, 94
97, 109, 101, 87, 95, 91
99, 109, 101, 91, 99, 94
98, 107, 101, 94, 112, 97
95, 101, 98, 91, 97, 94
98, 109, 103, 91, 99, 95
102, 134, 106, 91, 97, 94
94, 101, 97, 91, 99, 95
96, 105, 99, 93, 110, 97
100, 111, 105, 90, 99, 94
99, 108, 103, 91, 99, 93
95, 109, 99, 90, 99, 94
97, 109, 101, 94, 101, 97
102, 118, 106, 91, 99, 95
98, 107, 102, 91, 99, 95
94, 103, 97, 90, 99, 94
96, 111, 100, 93, 101, 97
100, 109, 104, 89, 97, 94
99, 115, 103, 90, 97, 93
95, 107, 99, 90, 99, 94
97, 105, 101, 94, 101, 97
102, 120, 105, 90, 97, 94
98, 110, 103, 91, 99, 95
96, 111, 100, 93, 103, 97
93, 101, 97, 91, 97, 93
98, 109, 103, 89, 97, 93
101, 127, 105, 91, 109, 94
98, 107, 101, 94, 101, 97
95, 113, 99, 91, 97, 94
99, 106, 102, 91, 105, 95
102, 109, 105, 91, 97, 94
96, 105, 100, 92, 101, 97
94, 103, 97, 91, 97, 94
98, 115, 103, 89, 106, 93
102, 109, 105, 91, 97, 94
98, 111, 101, 94, 110, 97
95, 103, 98, 91, 101, 94
98, 107, 102, 91, 99, 95
102, 117, 105, 91, 99, 94
101, 108, 105, 91, 99, 94
98, 108, 103, 90, 107, 93
94, 105, 97, 90, 99, 94
97, 107, 101, 93, 103, 96
102, 117, 105, 90, 97, 94
98, 109, 103, 91, 99, 95
95, 105, 99, 90, 105, 94
97, 105, 101, 94, 105, 97
101, 109, 104, 91, 103, 94
98, 109, 103, 90, 97, 93
94, 101, 97, 90, 99, 94
96, 103, 99, 93, 110, 97
102, 111, 105, 90, 97, 94
98, 109, 103, 91, 109, 95
95, 105, 99, 90, 97, 94
97, 107, 101, 94, 101, 97
99, 113, 103, 89, 106, 93
101, 109, 104, 91, 97, 94
96, 103, 99, 93, 113, 97
93, 103, 97, 91, 99, 94
98, 107, 102, 91, 100, 95
102, 116, 106, 91, 97, 94
98, 107, 101, 94, 101, 97
95, 111, 99, 91, 101, 94
98, 108, 102, 90, 97, 93
101, 115, 105, 91, 97, 94
96, 104, 99, 93, 105, 97
94, 109, 97, 91, 97, 94
98, 107, 103, 90, 99, 95
102, 116, 105, 91, 97, 94
98, 107, 101, 94, 103, 97
95, 103, 99, 91, 99, 94
97, 120, 101, 94, 101, 97
94, 103, 98, 91, 101, 94
97, 112, 100, 89, 97, 92
99, 109, 103, 89, 95, 91
93, 114, 97, 91, 99, 93
91, 101, 95, 89, 95, 91
95, 115, 99, 87, 95, 91
99, 108, 101, 89, 97, 91
95, 103, 98, 91, 99, 95
