hmin5, hmax5, hmed5, mmin5, mmax5, mmed5
104, 121, 108, 98, 105, 101
106, 119, 111, 97, 104, 99
97, 113, 101, 90, 99, 95
99, 111, 103, 92, 99, 95
102, 122, 107, 97, 103, 99
103, 119, 107, 93, 101, 97
96, 124, 99, 89, 97, 93
95, 112, 99, 87, 93, 89
97, 109, 101, 93, 99, 96
101, 116, 105, 91, 97, 94
91, 107, 95, 87, 93, 89
93, 107, 97, 87, 97, 89
99, 112, 103, 93, 101, 97
101, 116, 105, 91, 97, 94
93, 110, 96, 87, 99, 91
95, 109, 98, 87, 93, 89
101, 114, 105, 91, 99, 94
99, 114, 101, 93, 101, 96
93, 106, 97, 87, 103, 89
91, 109, 95, 87, 93, 89
101, 115, 105, 91, 107, 94
99, 112, 103, 93, 100, 97
95, 107, 98, 87, 93, 89
93, 104, 96, 87, 95, 91
101, 117, 105, 91, 98, 94
99, 112, 101, 92, 99, 95
93, 271, 97, 87, 93, 89
91, 105, 95, 87, 93, 89
101, 113, 106, 91, 99, 94
99, 111, 103, 93, 101, 97
95, 107, 99, 85, 95, 89
93, 107, 96, 87, 95, 91
91, 105, 95, 87, 93, 89
93, 107, 97, 87, 95, 89
97, 111, 101, 93, 99, 96
101, 120, 105, 91, 98, 94
93, 108, 96, 87, 93, 91
95, 107, 98, 85, 93, 89
99, 113, 103, 93, 100, 97
101, 117, 105, 91, 101, 94
91, 106, 95, 87, 93, 89
93, 107, 97, 87, 95, 89
97, 127, 101, 93, 105, 95
101, 116, 105, 91, 97, 94
93, 107, 95, 87, 93, 91
95, 109, 98, 87, 93, 89
99, 112, 103, 93, 100, 97
101, 114, 105, 91, 97, 94
93, 108, 97, 87, 93, 89
91, 105, 95, 87, 93, 89
101, 115, 105, 91, 99, 94
99, 111, 101, 93, 99, 95
95, 107, 99, 87, 95, 89
93, 104, 96, 87, 93, 91
101, 115, 105, 91, 97, 94
99, 111, 103, 93, 101, 97
93, 104, 97, 87, 93, 89
91, 105, 95, 87, 93, 89
101, 115, 105, 91, 97, 94
99, 111, 101, 93, 99, 96
95, 111, 99, 87, 93, 89
93, 105, 96, 87, 97, 91
101, 113, 105, 91, 99, 94
99, 112, 103, 93, 101, 97
101, 115, 105, 91, 99, 94
99, 116, 103, 94, 105, 97
95, 111, 98, 87, 93, 89
93, 109, 96, 87, 93, 91
101, 113, 105, 91, 107, 94
99, 109, 101, 93, 99, 96
93, 107, 97, 87, 93, 89
91, 105, 95, 87, 93, 89
101, 114, 105, 91, 98, 94
99, 111, 103, 93, 100, 97
95, 107, 98, 87, 103, 89
93, 112, 96, 87, 94, 91
101, 113, 106, 91, 97, 94
99, 121, 101, 93, 99, 95
93, 109, 97, 87, 93, 89
91, 106, 95, 87, 93, 89
99, 112, 103, 93, 103, 97
101, 113, 105, 91, 99, 94
93, 112, 95, 87, 93, 91
95, 107, 98, 87, 93, 89
97, 111, 102, 93, 99, 96
101, 115, 105, 91, 98, 94
91, 105, 95, 87, 93, 89
93, 106, 97, 87, 97, 89
99, 111, 103, 93, 101, 97
101, 130, 105, 91, 99, 94
93, 105, 95, 87, 97, 91
95, 107, 99, 87, 93, 89
97, 110, 101, 93, 99, 96
101, 113, 105, 91, 99, 94
91, 107, 95, 87, 93, 89
93, 109, 97, 87, 93, 89
95, 107, 98, 87, 103, 89
93, 104, 96, 87, 93, 91
101, 118, 105, 91, 99, 94
99, 112, 103, 93, 101, 97
93, 117, 97, 87, 93, 89
91, 105, 95, 87, 93, 89
101, 113, 106, 91, 99, 94
98, 113, 101, 93, 99, 96
95, 108, 99, 87, 93, 89
93, 108, 96, 87, 93, 91
101, 114, 105, 91, 99, 94
99, 111, 103, 93, 101, 97
93, 107, 97, 87, 93, 89
91, 118, 95, 87, 95, 89
101, 115, 105, 91, 99, 94
99, 113, 101, 93, 99, 97
93, 108, 95, 87, 97, 91
95, 116, 98, 87, 93, 89
99, 112, 103, 93, 100, 97
101, 116, 105, 91, 105, 94
91, 105, 95, 87, 93, 89
94, 109, 97, 87, 93, 89
97, 113, 101, 93, 99, 97
101, 124, 105, 91, 97, 94
93, 107, 95, 87, 94, 91
95, 107, 99, 87, 93, 89
99, 111, 103, 93, 101, 97
101, 114, 105, 91, 98, 94
91, 107, 95, 86, 93, 89
93, 112, 97, 87, 93, 89
97, 112, 101, 93, 99, 96
101, 117, 105, 91, 99, 95
93, 105, 95, 87, 95, 91
95, 107, 98, 87, 93, 89
99, 113, 103, 93, 100, 97
101, 120, 105, 91, 98, 94
91, 105, 96, 87, 93, 89
93, 108, 97, 87, 93, 89
98, 111, 101, 93, 102, 96
101, 120, 105, 91, 97, 94
93, 106, 95, 87, 94, 91
95, 107, 98, 87, 103, 89
99, 115, 103, 93, 101, 97
101, 114, 105, 91, 99, 94
91, 103, 95, 87, 129, 89
93, 108, 97, 87, 93, 89
97, 110, 102, 91, 113, 97
101, 116, 105, 91, 97, 94
95, 107, 98, 87, 93, 89
93, 104, 96, 87, 93, 91
101, 115, 105, 91, 99, 94
99, 117, 103, 93, 103, 97
93, 107, 97, 87, 93, 89
91, 113, 95, 87, 93, 89
101, 114, 105, 91, 107, 94
99, 109, 101, 93, 99, 96
95, 110, 99, 87, 93, 89
93, 112, 96, 87, 128, 91
101, 116, 105, 91, 99, 94
99, 111, 103, 93, 101, 97
93, 108, 97, 87, 97, 89
91, 108, 95, 87, 93, 89
101, 113, 105, 91, 99, 94
99, 115, 101, 93, 99, 96
99, 111, 103, 93, 99, 97
101, 113, 105, 91, 97, 94
93, 105, 95, 87, 95, 91
95, 109, 99, 87, 93, 89
97, 115, 101, 93, 99, 96
101, 119, 105, 91, 97, 95
91, 103, 95, 87, 95, 89
94, 107, 97, 87, 93, 89
99, 117, 103, 93, 101, 97
101, 114, 105, 91, 99, 94
93, 105, 97, 87, 94, 91
95, 106, 99, 87, 93, 89
97, 111, 101, 93, 101, 95
101, 115, 105, 91, 99, 94
91, 105, 95, 87, 93, 89
95, 107, 98, 87, 95, 89
101, 116, 105, 91, 98, 94
99, 113, 103, 93, 101, 97
95, 108, 99, 87, 93, 89
93, 105, 96, 87, 95, 91
101, 117, 105, 91, 99, 94
99, 111, 101, 93, 99, 96
93, 109, 98, 87, 93, 89
91, 107, 95, 87, 93, 89
101, 114, 105, 91, 97, 94
99, 111, 103, 93, 110, 97
95, 107, 98, 87, 93, 89
93, 274, 97, 87, 95, 91
101, 116, 105, 91, 101, 94
99, 112, 101, 93, 99, 96
93, 107, 97, 87, 93, 89
91, 105, 95, 87, 95, 89
93, 107, 98, 87, 93, 89
91, 103, 95, 87, 93, 89
101, 114, 105, 91, 108, 94
99, 112, 101, 93, 99, 96
95, 107, 99, 87, 93, 89
93, 103, 96, 87, 99, 91
101, 113, 105, 91, 98, 94
99, 112, 103, 93, 101, 97
93, 108, 97, 87, 93, 89
91, 103, 95, 87, 93, 89
101, 115, 105, 91, 98, 94
99, 115, 101, 93, 99, 96
95, 109, 99, 85, 93, 89
93, 107, 96, 87, 94, 91
101, 113, 105, 91, 99, 94
99, 111, 103, 93, 100, 97
91, 107, 95, 87, 93, 89
93, 109, 97, 87, 93, 89
98, 110, 101, 93, 101, 96
101, 125, 105, 91, 98, 94
93, 107, 96, 87, 93, 91
95, 107, 98, 87, 95, 89
99, 113, 103, 93, 101, 97
101, 123, 105, 91, 97, 94
91, 105, 95, 87, 97, 89
93, 120, 97, 87, 93, 89
97, 111, 101, 93, 99, 96
101, 116, 105, 91, 97, 95
93, 107, 97, 87, 93, 91
95, 113, 98, 87, 93, 89
99, 150, 103, 93, 101, 97
101, 115, 105, 91, 97, 94
101, 117, 105, 91, 99, 94
99, 114, 101, 93, 99, 96
93, 105, 97, 87, 101, 89
91, 105, 95, 87, 93, 89
101, 115, 105, 91, 99, 94
99, 113, 103, 93, 101, 97
95, 107, 98, 87, 93, 89
93, 107, 96, 87, 95, 91
101, 122, 105, 91, 107, 94
99, 134, 101, 93, 99, 96
93, 107, 97, 87, 93, 89
91, 109, 95, 87, 109, 89
101, 126, 105, 91, 97, 94
99, 112, 103, 93, 101, 97
95, 110, 98, 87, 93, 89
93, 105, 96, 87, 95, 91
98, 114, 101, 93, 99, 96
101, 113, 105, 91, 97, 94
91, 105, 95, 87, 93, 89
93, 107, 97, 87, 93, 89
99, 118, 103, 93, 99, 97
101, 114, 105, 91, 101, 95
93, 109, 97, 87, 95, 91
95, 108, 99, 87, 93, 89
97, 112, 101, 93, 101, 96
101, 113, 105, 91, 97, 95
91, 105, 95, 87, 93, 89
93, 117, 97, 87, 95, 89
99, 112, 103, 93, 99, 97
101, 116, 105, 91, 97, 94
93, 105, 96, 87, 95, 91
95, 107, 98, 87, 93, 89
101, 114, 105, 91, 99, 94
99, 111, 103, 93, 99, 96
93, 110, 97, 87, 93, 89
91, 111, 95, 87, 93, 89
101, 117, 105, 91, 99, 94
99, 114, 103, 93, 101, 97
95, 109, 98, 87, 93, 89
93, 105, 96, 87, 95, 91
101, 115, 105, 91, 106, 93
99, 115, 101, 93, 99, 96
93, 107, 97, 87, 93, 89
91, 103, 95, 87, 95, 89
101, 118, 105, 91, 99, 94
99, 121, 103, 93, 101, 97
95, 107, 99, 87, 95, 89
93, 107, 96, 87, 93, 91
97, 109, 101, 93, 101, 95
101, 116, 105, 91, 99, 95
91, 105, 95, 87, 93, 89
94, 107, 97, 87, 93, 89
99, 116, 103, 93, 103, 97
101, 113, 105, 91, 97, 94
93, 105, 96, 87, 93, 91
95, 107, 98, 87, 93, 89
97, 114, 101, 93, 99, 96
101, 116, 105, 91, 98, 94
92, 134, 95, 87, 93, 89
93, 107, 97, 87, 93, 89
