hmin2, hmax2, hmed2, mmin2, mmax2, mmed2
104, 117, 108, 103, 111, 106
104, 114, 107, 100, 109, 104
109, 119, 114, 100, 109, 103
108, 120, 112, 98, 105, 101
104, 115, 109, 101, 109, 105
102, 111, 105, 98, 105, 101
106, 117, 109, 98, 105, 101
109, 119, 113, 98, 105, 101
104, 111, 107, 100, 107, 103
100, 107, 104, 98, 105, 101
103, 111, 106, 94, 101, 97
105, 119, 110, 98, 105, 101
104, 115, 109, 101, 109, 105
101, 111, 105, 98, 105, 101
106, 116, 110, 98, 105, 101
109, 119, 113, 98, 105, 101
100, 109, 104, 98, 105, 101
104, 113, 107, 100, 107, 103
105, 115, 110, 94, 101, 97
102, 112, 106, 95, 101, 97
98, 109, 102, 94, 103, 97
101, 111, 106, 98, 105, 101
106, 117, 110, 94, 110, 97
102, 113, 107, 94, 103, 99
98, 107, 101, 94, 101, 97
102, 111, 105, 97, 105, 100
106, 117, 109, 94, 102, 98
102, 111, 106, 93, 101, 97
98, 109, 103, 94, 103, 97
102, 111, 106, 98, 105, 101
106, 115, 110, 92, 103, 96
100, 109, 104, 92, 100, 95
100, 110, 104, 92, 99, 95
102, 113, 106, 92, 99, 95
98, 107, 101, 95, 101, 97
95, 105, 99, 92, 99, 95
100, 109, 104, 92, 99, 95
102, 111, 107, 91, 107, 95
99, 108, 102, 96, 103, 99
95, 106, 99, 92, 99, 95
100, 109, 103, 92, 99, 95
102, 112, 105, 92, 99, 95
98, 105, 101, 95, 103, 97
94, 105, 99, 92, 100, 95
100, 110, 103, 93, 99, 95
103, 113, 107, 92, 99, 95
99, 106, 102, 96, 102, 99
96, 105, 99, 92, 99, 95
102, 111, 106, 92, 99, 95
100, 109, 104, 91, 99, 95
95, 105, 98, 92, 99, 95
98, 107, 101, 94, 112, 97
103, 111, 107, 92, 99, 95
100, 109, 103, 92, 99, 95
96, 105, 99, 92, 99, 95
99, 108, 103, 95, 102, 98
102, 111, 105, 92, 99, 95
100, 110, 104, 90, 99, 95
95, 103, 99, 92, 99, 95
97, 105, 101, 95, 102, 98
104, 113, 107, 92, 102, 95
100, 107, 103, 92, 99, 95
96, 105, 99, 92, 99, 95
99, 108, 103, 95, 103, 99
96, 107, 100, 92, 99, 95
99, 107, 102, 95, 103, 99
103, 111, 107, 92, 99, 95
100, 109, 105, 92, 99, 95
92, 105, 96, 89, 97, 93
95, 103, 99, 92, 101, 97
102, 111, 106, 92, 99, 95
97, 107, 101, 89, 97, 93
93, 103, 97, 89, 97, 93
96, 105, 99, 92, 101, 96
100, 107, 103, 89, 95, 93
96, 106, 101, 90, 97, 93
92, 99, 95, 89, 97, 93
94, 103, 98, 91, 99, 95
100, 107, 103, 89, 95, 93
97, 107, 101, 89, 97, 93
96, 105, 100, 93, 99, 95
