hmin5, hmax5, hmed5, mmin5, mmax5, mmed5
113, 122, 117, 107, 115, 111
117, 126, 121, 106, 113, 109
106, 119, 109, 100, 107, 103
109, 119, 113, 100, 108, 103
114, 124, 119, 109, 168, 112
117, 127, 121, 106, 113, 109
106, 117, 111, 98, 109, 101
107, 116, 110, 97, 105, 99
110, 119, 113, 104, 112, 107
114, 125, 118, 102, 109, 105
102, 111, 106, 96, 105, 100
106, 115, 109, 97, 105, 100
110, 121, 115, 104, 113, 109
114, 125, 118, 102, 111, 105
104, 114, 108, 98, 105, 101
107, 116, 110, 97, 105, 100
113, 123, 118, 101, 121, 105
110, 126, 114, 104, 111, 107
104, 115, 109, 96, 103, 100
103, 111, 106, 97, 105, 100
114, 123, 118, 101, 109, 105
112, 119, 115, 105, 112, 109
106, 122, 110, 94, 103, 99
100, 108, 104, 95, 102, 98
110, 121, 114, 100, 107, 102
107, 117, 111, 100, 108, 104
102, 111, 105, 93, 101, 97
100, 109, 103, 94, 109, 97
110, 119, 114, 100, 107, 103
108, 116, 112, 102, 109, 105
103, 112, 107, 93, 101, 97
99, 110, 103, 92, 99, 95
97, 107, 101, 91, 99, 94
99, 109, 103, 92, 99, 95
104, 111, 107, 98, 107, 101
107, 117, 111, 97, 104, 99
98, 107, 101, 92, 99, 95
100, 107, 103, 92, 99, 95
105, 115, 109, 99, 107, 103
107, 124, 111, 97, 107, 101
100, 109, 104, 93, 101, 97
102, 112, 105, 94, 101, 97
104, 124, 110, 98, 105, 101
107, 117, 111, 97, 107, 100
101, 111, 105, 94, 103, 98
100, 113, 105, 92, 99, 95
105, 115, 109, 99, 107, 103
107, 115, 111, 97, 104, 99
99, 107, 103, 91, 99, 95
97, 113, 101, 92, 99, 95
107, 123, 111, 96, 107, 99
104, 111, 107, 98, 105, 101
100, 109, 104, 90, 99, 95
99, 107, 102, 92, 99, 95
107, 115, 111, 96, 103, 99
105, 113, 108, 99, 106, 103
99, 112, 103, 90, 99, 95
97, 106, 101, 92, 99, 95
108, 117, 111, 96, 103, 99
104, 113, 107, 98, 105, 101
100, 109, 104, 90, 99, 95
98, 108, 101, 92, 100, 95
104, 120, 109, 93, 101, 97
102, 113, 106, 97, 105, 102
107, 115, 111, 96, 103, 99
102, 111, 105, 97, 103, 99
98, 107, 101, 89, 97, 91
96, 105, 99, 90, 97, 93
104, 114, 108, 93, 101, 97
101, 109, 104, 95, 103, 99
96, 105, 99, 89, 95, 91
94, 103, 97, 89, 95, 91
104, 115, 108, 93, 101, 97
102, 121, 105, 96, 117, 99
97, 105, 101, 88, 97, 91
94, 104, 99, 90, 97, 93
103, 113, 107, 93, 101, 97
101, 110, 105, 96, 103, 99
96, 105, 99, 88, 95, 91
94, 110, 97, 89, 95, 91
102, 111, 105, 96, 103, 99
104, 114, 108, 94, 101, 97
95, 103, 99, 89, 97, 93
98, 107, 101, 89, 95, 91
100, 110, 105, 95, 103, 99
103, 120, 107, 94, 101, 97
94, 107, 97, 89, 95, 91
97, 105, 99, 89, 95, 91
102, 110, 105, 96, 103, 99
103, 113, 107, 94, 101, 97
95, 103, 99, 89, 101, 93
98, 107, 101, 89, 97, 93
101, 111, 105, 95, 103, 99
104, 113, 107, 94, 101, 97
94, 104, 98, 89, 95, 93
97, 119, 100, 89, 97, 91
98, 107, 101, 89, 95, 91
96, 105, 99, 90, 97, 93
103, 111, 107, 93, 101, 97
102, 111, 105, 94, 103, 99
93, 103, 97, 87, 93, 89
91, 101, 95, 85, 93, 89
101, 110, 105, 91, 99, 94
98, 107, 101, 93, 99, 96
95, 104, 99, 87, 93, 89
91, 101, 96, 87, 93, 91
101, 110, 105, 91, 99, 94
99, 118, 103, 93, 101, 97
93, 103, 97, 87, 93, 89
91, 101, 95, 87, 97, 89
101, 109, 105, 91, 99, 94
99, 117, 101, 93, 99, 96
93, 113, 96, 87, 95, 91
95, 102, 98, 87, 93, 89
99, 132, 103, 93, 100, 97
101, 109, 105, 91, 105, 94
91, 100, 95, 87, 93, 89
94, 103, 97, 87, 93, 89
97, 105, 101, 93, 101, 97
101, 118, 105, 91, 97, 94
93, 101, 97, 87, 93, 91
95, 104, 99, 87, 93, 89
99, 109, 103, 93, 101, 97
101, 119, 105, 91, 97, 94
91, 101, 95, 87, 93, 89
93, 103, 97, 87, 93, 89
98, 107, 102, 93, 99, 96
101, 110, 105, 91, 97, 94
93, 101, 96, 87, 94, 91
95, 104, 99, 87, 93, 89
99, 109, 103, 93, 101, 97
101, 116, 105, 91, 97, 94
91, 107, 95, 87, 93, 89
93, 102, 97, 87, 93, 89
99, 107, 102, 93, 99, 95
101, 110, 105, 91, 97, 94
93, 101, 96, 87, 94, 91
95, 104, 99, 85, 93, 89
99, 107, 103, 93, 101, 97
101, 110, 105, 91, 97, 94
91, 101, 95, 87, 93, 89
