hmin4, hmax4, hmed4, mmin4, mmax4, mmed4
113, 123, 117, 106, 116, 112
119, 130, 124, 106, 113, 109
117, 132, 121, 101, 109, 104
105, 113, 109, 98, 117, 101
116, 125, 120, 109, 116, 113
121, 130, 125, 104, 115, 110
114, 125, 118, 99, 107, 103
104, 115, 108, 97, 103, 100
113, 121, 117, 106, 122, 109
116, 136, 121, 102, 109, 106
112, 123, 117, 98, 105, 101
102, 113, 106, 96, 103, 99
114, 123, 118, 106, 120, 109
117, 126, 120, 104, 111, 107
114, 136, 118, 99, 107, 102
103, 112, 107, 97, 105, 100
114, 126, 119, 102, 111, 106
114, 123, 117, 103, 113, 109
99, 108, 103, 92, 101, 96
109, 120, 113, 95, 102, 98
114, 122, 117, 100, 109, 105
110, 125, 113, 103, 110, 106
100, 110, 104, 93, 101, 97
112, 121, 115, 96, 103, 99
112, 122, 116, 100, 108, 103
110, 119, 113, 103, 110, 106
97, 108, 100, 89, 97, 93
107, 117, 111, 93, 99, 95
109, 117, 113, 98, 105, 101
107, 116, 110, 100, 107, 103
97, 105, 101, 90, 99, 95
108, 117, 112, 94, 101, 97
107, 116, 110, 91, 99, 95
97, 105, 100, 90, 97, 93
106, 117, 110, 100, 107, 103
110, 117, 113, 97, 105, 101
107, 117, 111, 93, 101, 97
98, 105, 101, 91, 99, 95
106, 115, 111, 100, 107, 103
110, 119, 113, 98, 105, 101
106, 116, 111, 92, 99, 95
96, 107, 100, 90, 97, 93
106, 124, 110, 100, 107, 103
110, 116, 112, 97, 105, 100
107, 117, 112, 93, 101, 97
98, 113, 101, 92, 97, 94
106, 115, 111, 100, 107, 103
111, 120, 114, 98, 105, 101
97, 105, 99, 89, 97, 93
106, 123, 110, 92, 99, 95
108, 116, 113, 97, 105, 100
108, 115, 111, 100, 107, 103
97, 107, 102, 90, 99, 95
108, 115, 111, 94, 101, 97
110, 117, 114, 98, 105, 101
107, 115, 110, 100, 107, 103
97, 105, 99, 89, 97, 93
104, 114, 108, 89, 97, 93
105, 114, 109, 95, 104, 100
107, 113, 110, 100, 107, 103
94, 103, 99, 88, 97, 92
104, 111, 108, 91, 97, 94
106, 115, 110, 95, 103, 99
103, 113, 107, 97, 103, 100
106, 115, 111, 95, 102, 99
104, 113, 107, 97, 103, 100
93, 103, 97, 89, 95, 91
104, 114, 109, 91, 97, 94
106, 115, 110, 93, 101, 97
103, 114, 107, 97, 104, 100
93, 103, 97, 87, 95, 91
104, 113, 107, 90, 97, 93
106, 117, 111, 95, 102, 99
104, 113, 107, 97, 105, 100
94, 103, 98, 89, 97, 91
104, 111, 108, 91, 97, 94
105, 114, 109, 94, 101, 97
104, 113, 107, 97, 104, 100
93, 103, 97, 87, 95, 91
104, 113, 107, 90, 109, 97
103, 111, 107, 97, 105, 100
107, 117, 111, 95, 103, 99
105, 112, 108, 91, 99, 94
94, 104, 99, 89, 95, 91
103, 112, 107, 97, 104, 100
106, 113, 109, 94, 101, 97
103, 113, 107, 89, 97, 93
91, 102, 95, 85, 92, 89
101, 109, 105, 95, 104, 99
107, 122, 111, 95, 103, 99
101, 112, 106, 89, 95, 91
93, 101, 95, 87, 93, 89
101, 109, 105, 93, 101, 97
103, 114, 107, 91, 99, 95
101, 108, 104, 87, 99, 91
91, 99, 94, 85, 91, 89
91, 102, 96, 87, 93, 89
102, 111, 105, 89, 95, 91
104, 113, 109, 93, 99, 95
101, 110, 104, 95, 101, 97
91, 100, 95, 85, 91, 89
101, 110, 104, 87, 95, 91
103, 111, 106, 91, 98, 95
101, 109, 105, 95, 101, 97
91, 101, 95, 87, 93, 89
101, 111, 105, 87, 95, 91
103, 112, 107, 93, 99, 96
101, 109, 104, 95, 101, 97
91, 101, 95, 85, 91, 89
101, 107, 104, 87, 94, 91
103, 112, 106, 91, 99, 95
101, 109, 105, 95, 101, 97
101, 111, 106, 89, 105, 91
92, 102, 96, 87, 93, 89
101, 109, 105, 93, 109, 97
103, 111, 107, 93, 99, 97
101, 110, 105, 87, 95, 91
91, 99, 95, 85, 91, 89
101, 109, 105, 93, 101, 97
103, 111, 107, 91, 99, 95
103, 111, 107, 89, 95, 91
93, 101, 95, 87, 93, 89
101, 109, 104, 94, 101, 97
103, 113, 107, 93, 99, 97
101, 109, 104, 87, 93, 91
91, 99, 95, 85, 92, 89
101, 109, 105, 94, 101, 97
103, 111, 107, 91, 99, 95
101, 109, 105, 89, 95, 91
93, 101, 95, 87, 93, 89
101, 109, 105, 93, 101, 97
104, 112, 107, 93, 99, 96
101, 109, 104, 87, 93, 91
91, 101, 95, 85, 93, 89
101, 109, 105, 93, 101, 97
103, 111, 107, 91, 99, 95
101, 111, 105, 89, 95, 91
93, 101, 95, 87, 93, 89
101, 109, 105, 93, 101, 97
105, 113, 108, 93, 100, 97
101, 109, 104, 87, 94, 91
91, 101, 95, 85, 91, 89
101, 109, 105, 93, 101, 97
103, 111, 107, 91, 99, 95
91, 101, 96, 87, 93, 89
102, 115, 105, 89, 95, 91
103, 113, 107, 93, 99, 96
101, 109, 105, 95, 101, 97
91, 99, 95, 85, 91, 89
101, 109, 104, 87, 93, 91
103, 111, 107, 91, 99, 95
101, 110, 105, 95, 101, 97
91, 101, 95, 87, 93, 89
101, 120, 107, 89, 95, 91
104, 113, 108, 93, 99, 96
101, 110, 105, 95, 101, 97
91, 99, 95, 85, 92, 89
101, 107, 104, 87, 95, 91
103, 113, 107, 91, 99, 95
101, 109, 105, 95, 101, 97
101, 109, 105, 93, 101, 97
104, 113, 107, 93, 99, 96
102, 111, 106, 89, 95, 91
91, 101, 97, 87, 92, 89
101, 108, 103, 93, 101, 97
103, 112, 106, 91, 98, 95
101, 108, 104, 87, 95, 91
91, 101, 95, 85, 93, 89
101, 109, 105, 93, 101, 97
103, 111, 107, 93, 99, 97
101, 110, 105, 89, 95, 91
92, 101, 95, 85, 93, 89
101, 109, 105, 93, 101, 97
103, 118, 107, 91, 99, 95
101, 110, 105, 87, 94, 90
91, 101, 95, 85, 91, 89
103, 113, 108, 93, 99, 96
101, 110, 105, 95, 101, 97
91, 100, 95, 87, 93, 89
102, 110, 105, 89, 95, 91
103, 112, 107, 91, 99, 95
101, 109, 105, 95, 101, 97
91, 99, 95, 85, 91, 89
101, 107, 104, 87, 93, 91
104, 113, 108, 93, 99, 97
101, 109, 105, 95, 101, 97
91, 101, 95, 87, 93, 89
101, 111, 105, 89, 101, 91
103, 111, 107, 91, 98, 95
101, 109, 105, 95, 101, 97
91, 99, 95, 85, 93, 89
101, 115, 104, 87, 94, 91
91, 99, 95, 85, 92, 89
101, 108, 104, 87, 95, 91
103, 112, 107, 91, 99, 95
101, 109, 105, 95, 101, 97
91, 99, 95, 87, 93, 89
102, 109, 105, 89, 95, 91
103, 113, 108, 93, 99, 96
101, 109, 105, 95, 101, 97
91, 98, 95, 85, 91, 89
101, 112, 104, 87, 93, 91
103, 112, 107, 91, 99, 95
101, 110, 105, 95, 101, 97
91, 101, 95, 87, 93, 89
101, 111, 105, 89, 95, 91
103, 111, 107, 93, 99, 96
101, 109, 105, 95, 101, 97
101, 109, 105, 87, 94, 91
91, 101, 95, 85, 93, 89
101, 110, 105, 93, 101, 97
103, 109, 106, 91, 99, 95
101, 110, 105, 89, 95, 91
93, 99, 95, 87, 93, 89
101, 109, 105, 93, 101, 97
103, 111, 107, 93, 99, 96
101, 110, 105, 87, 95, 91
91, 100, 95, 85, 91, 89
101, 109, 105, 93, 101, 97
103, 112, 107, 91, 99, 95
101, 110, 105, 89, 95, 91
93, 101, 96, 87, 93, 89
101, 109, 105, 94, 101, 97
103, 112, 107, 93, 99, 96
103, 111, 107, 91, 99, 95
101, 107, 105, 95, 101, 97
91, 109, 95, 85, 91, 89
101, 119, 105, 87, 95, 91
103, 112, 108, 93, 99, 96
101, 109, 104, 95, 101, 97
91, 99, 93, 85, 91, 87
99, 109, 103, 89, 95, 91
103, 111, 107, 91, 99, 95
101, 109, 105, 95, 101, 97
91, 101, 95, 85, 93, 89
101, 108, 104, 87, 93, 91
104, 113, 107, 93, 99, 96
101, 109, 105, 95, 101, 97
92, 99, 95, 87, 93, 89
102, 109, 105, 89, 95, 91
101, 109, 105, 93, 101, 97
103, 112, 107, 91, 109, 95
101, 109, 104, 87, 93, 91
91, 99, 95, 85, 91, 89
101, 109, 105, 93, 101, 97
103, 113, 107, 93, 99, 96
101, 111, 106, 87, 95, 91
91, 102, 97, 87, 93, 89
101, 109, 105, 93, 101, 97
103, 113, 107, 91, 98, 95
101, 109, 105, 87, 93, 91
91, 99, 95, 85, 91, 89
101, 108, 105, 93, 101, 97
104, 113, 107, 93, 99, 96
102, 114, 105, 89, 95, 91
93, 101, 95, 87, 93, 89
103, 111, 106, 91, 99, 95
101, 109, 104, 95, 101, 97
91, 103, 95, 85, 91, 89
101, 109, 105, 87, 93, 91
103, 111, 108, 93, 99, 95
101, 111, 105, 95, 101, 97
91, 101, 95, 87, 93, 89
103, 108, 105, 89, 95, 91
103, 116, 107, 91, 99, 95
101, 110, 105, 94, 105, 97
91, 98, 94, 85, 97, 89
101, 110, 104, 87, 93, 91
103, 111, 107, 93, 99, 96
101, 107, 104, 95, 101, 97
91, 105, 95, 87, 93, 89
99, 111, 105, 87, 97, 91
99, 124, 108, 91, 108, 95
100, 107, 103, 89, 96, 93
101, 115, 104, 87, 93, 91
89, 99, 94, 83, 98, 86
97, 106, 101, 91, 99, 95
101, 111, 105, 89, 97, 93
99, 108, 103, 87, 92, 89
89, 97, 93, 85, 91, 87
98, 109, 101, 91, 99, 95
101, 108, 103, 89, 105, 93
97, 109, 102, 85, 93, 88
89, 100, 92, 83, 89, 86
99, 108, 102, 91, 98, 95
101, 109, 105, 89, 103, 93
99, 108, 102, 85, 93, 89
89, 106, 94, 85, 91, 87
89, 99, 93, 83, 91, 85
99, 107, 103, 85, 91, 87
99, 111, 103, 89, 96, 93
97, 115, 101, 91, 101, 95
89, 99, 93, 85, 97, 87
99, 108, 103, 85, 92, 89
101, 113, 107, 91, 97, 94
97, 104, 101, 91, 99, 95
87, 97, 93, 83, 89, 86
98, 110, 101, 85, 91, 87
99, 115, 104, 91, 113, 95
97, 109, 101, 91, 98, 95
91, 97, 93, 85, 91, 87
99, 109, 103, 85, 93, 89
101, 110, 104, 91, 96, 93
99, 107, 102, 91, 98, 95
97, 122, 101, 85, 91, 87
89, 95, 91, 83, 89, 85
97, 113, 101, 91, 98, 95
99, 109, 104, 89, 95, 92
99, 108, 103, 87, 92, 89
89, 97, 93, 85, 91, 87
97, 111, 101, 91, 98, 95
101, 110, 105, 91, 97, 93
