hmin3, hmax3, hmed3, mmin3, mmax3, mmed3
100, 111, 105, 99, 107, 102
102, 112, 107, 99, 107, 102
110, 122, 116, 102, 109, 105
114, 123, 118, 101, 109, 105
104, 115, 109, 99, 108, 102
104, 112, 107, 99, 105, 102
108, 119, 112, 99, 105, 102
112, 119, 115, 99, 107, 102
100, 111, 104, 99, 107, 102
102, 113, 107, 99, 107, 102
107, 116, 111, 99, 107, 102
112, 121, 115, 98, 107, 101
101, 113, 105, 99, 107, 102
104, 115, 109, 99, 107, 102
108, 119, 113, 99, 107, 102
112, 121, 115, 99, 107, 103
102, 111, 107, 99, 107, 102
100, 109, 104, 99, 107, 102
112, 119, 115, 98, 105, 101
107, 117, 112, 99, 107, 102
104, 114, 108, 99, 107, 102
98, 105, 101, 95, 103, 99
108, 117, 111, 96, 103, 99
105, 115, 109, 95, 103, 99
100, 110, 103, 96, 103, 99
96, 107, 101, 95, 103, 99
108, 118, 112, 95, 103, 99
104, 113, 108, 95, 103, 99
101, 111, 105, 96, 103, 99
98, 109, 102, 95, 103, 99
108, 115, 111, 96, 103, 100
105, 115, 110, 96, 103, 99
104, 115, 109, 96, 103, 99
108, 118, 112, 95, 103, 99
98, 108, 101, 96, 103, 99
100, 109, 103, 95, 103, 99
105, 115, 109, 96, 103, 99
108, 117, 112, 96, 103, 99
98, 107, 101, 96, 103, 99
100, 109, 104, 95, 103, 99
104, 115, 109, 96, 103, 99
108, 116, 111, 94, 103, 99
97, 107, 101, 96, 103, 99
97, 109, 102, 93, 101, 97
102, 113, 106, 93, 101, 97
105, 116, 109, 93, 101, 97
96, 105, 100, 94, 99, 97
98, 107, 102, 93, 101, 97
105, 114, 109, 93, 100, 95
101, 113, 105, 93, 100, 97
97, 105, 101, 93, 101, 97
95, 105, 99, 93, 101, 97
105, 115, 109, 94, 101, 97
102, 113, 106, 93, 101, 96
99, 108, 103, 94, 101, 97
96, 105, 99, 93, 101, 96
106, 112, 109, 93, 101, 95
102, 112, 105, 93, 101, 96
97, 106, 101, 93, 100, 96
95, 104, 98, 93, 100, 97
106, 114, 109, 95, 101, 97
102, 113, 107, 93, 100, 96
98, 107, 101, 93, 100, 96
96, 105, 100, 92, 101, 97
98, 107, 102, 93, 100, 96
96, 107, 99, 93, 101, 97
102, 114, 107, 91, 99, 94
100, 109, 104, 90, 111, 97
97, 105, 101, 93, 99, 96
92, 103, 97, 90, 97, 93
102, 110, 105, 89, 97, 93
98, 108, 103, 89, 99, 93
95, 105, 99, 90, 97, 93
93, 103, 97, 90, 98, 93
102, 111, 105, 91, 99, 94
100, 110, 105, 90, 97, 93
94, 104, 99, 91, 97, 93
91, 101, 96, 89, 97, 93
103, 111, 106, 89, 97, 93
98, 109, 103, 90, 97, 93
93, 103, 97, 90, 97, 93
95, 103, 99, 90, 97, 93
100, 111, 105, 90, 97, 93
102, 111, 106, 91, 97, 94
91, 101, 95, 90, 97, 93
94, 105, 98, 90, 98, 93
98, 109, 103, 90, 97, 93
102, 111, 106, 90, 97, 93
93, 103, 97, 91, 97, 93
95, 105, 99, 89, 97, 93
100, 109, 104, 91, 97, 93
102, 111, 105, 91, 97, 94
92, 103, 97, 90, 97, 93
94, 104, 98, 90, 97, 93
98, 107, 102, 91, 97, 93
101, 112, 106, 90, 97, 93
102, 109, 106, 91, 99, 94
100, 109, 103, 90, 97, 93
95, 103, 99, 90, 97, 93
93, 103, 97, 90, 97, 93
102, 109, 106, 90, 97, 93
99, 107, 102, 89, 97, 93
94, 103, 97, 90, 97, 93
92, 101, 95, 90, 97, 93
102, 109, 105, 91, 97, 94
100, 109, 104, 90, 97, 93
95, 103, 99, 90, 97, 93
93, 103, 97, 89, 97, 93
102, 111, 107, 90, 97, 93
98, 107, 103, 90, 97, 93
94, 105, 99, 91, 97, 93
92, 101, 96, 90, 97, 93
99, 107, 103, 90, 97, 93
102, 111, 105, 91, 99, 94
94, 103, 97, 90, 97, 93
95, 106, 99, 90, 97, 93
99, 107, 103, 90, 97, 93
102, 111, 106, 90, 97, 93
92, 99, 95, 90, 97, 93
94, 105, 98, 90, 97, 93
98, 111, 103, 89, 95, 91
99, 108, 103, 89, 97, 93
93, 101, 97, 90, 97, 93
93, 103, 98, 87, 95, 91
95, 105, 99, 87, 97, 93
102, 110, 106, 89, 97, 93
89, 99, 93, 87, 95, 91
91, 101, 95, 87, 97, 93
100, 107, 103, 90, 97, 93
99, 109, 103, 87, 95, 91
91, 101, 95, 90, 97, 93
95, 105, 99, 90, 97, 93
