hmin6, hmax6, hmed6, mmin6, mmax6, mmed6
104, 118, 112, 104, 111, 107
106, 115, 109, 102, 110, 105
111, 121, 116, 101, 111, 105
114, 123, 117, 102, 111, 105
106, 120, 110, 102, 111, 106
103, 111, 107, 99, 105, 102
107, 116, 111, 99, 107, 103
112, 119, 115, 99, 107, 102
105, 115, 109, 101, 109, 105
102, 111, 105, 99, 106, 102
107, 115, 111, 99, 107, 102
110, 117, 113, 99, 107, 102
106, 117, 111, 102, 111, 106
104, 111, 107, 99, 107, 103
107, 116, 111, 99, 107, 103
112, 121, 115, 99, 105, 102
102, 113, 106, 99, 107, 103
106, 116, 110, 101, 109, 105
110, 118, 113, 99, 107, 102
104, 115, 108, 96, 103, 99
100, 111, 105, 96, 103, 99
104, 114, 107, 100, 108, 103
107, 116, 111, 96, 103, 99
104, 113, 108, 97, 105, 100
98, 107, 103, 96, 104, 99
102, 111, 105, 98, 105, 101
106, 117, 111, 96, 103, 99
104, 115, 108, 95, 103, 99
100, 109, 103, 96, 103, 99
104, 113, 107, 100, 107, 103
105, 115, 109, 94, 101, 97
101, 112, 104, 97, 104, 100
104, 113, 107, 95, 103, 99
107, 114, 110, 96, 103, 99
102, 111, 105, 98, 107, 102
98, 109, 102, 96, 103, 99
104, 113, 108, 97, 103, 100
108, 115, 111, 96, 103, 99
103, 111, 107, 100, 107, 102
100, 111, 104, 96, 103, 99
104, 115, 108, 95, 103, 99
107, 124, 111, 96, 109, 99
102, 112, 106, 98, 106, 101
98, 109, 102, 96, 103, 99
102, 115, 106, 95, 101, 97
105, 115, 109, 94, 101, 97
100, 108, 104, 97, 105, 100
98, 107, 103, 94, 101, 97
103, 113, 107, 93, 101, 97
102, 109, 105, 93, 100, 96
96, 107, 100, 93, 101, 97
99, 109, 103, 96, 103, 99
104, 114, 108, 92, 100, 97
101, 109, 105, 95, 101, 97
97, 107, 102, 93, 101, 97
100, 111, 103, 97, 104, 100
103, 113, 106, 93, 101, 97
101, 112, 106, 93, 100, 96
96, 105, 101, 93, 101, 97
99, 109, 103, 96, 103, 99
105, 112, 108, 93, 101, 97
101, 111, 105, 95, 102, 97
97, 113, 101, 92, 101, 97
100, 111, 104, 97, 104, 100
97, 107, 102, 93, 100, 97
98, 110, 103, 94, 102, 97
