Addr, hmin0, hmax0, hmed0, mmin0, mmax0, mmed0
0x7f323a601c80, 92, 99, 96, 81, 86, 83
0x7f323a601cc0, 83, 93, 87, 79, 85, 81
0x7f323a601d00, 92, 99, 95, 85, 91, 89
0x7f323a601d40, 93, 103, 97, 83, 90, 87
0x7f323a601d80, 91, 99, 95, 79, 86, 83
0x7f323a601dc0, 83, 89, 86, 77, 88, 81
0x7f323a601e00, 92, 99, 95, 85, 91, 89
0x7f323a601e40, 93, 103, 98, 85, 91, 87
0x7f323a601e80, 93, 100, 96, 81, 87, 83
0x7f323a601ec0, 83, 91, 87, 79, 85, 81
0x7f323a601f00, 92, 107, 95, 85, 92, 89
0x7f323a601f40, 93, 103, 99, 83, 97, 87
0x7f323a601f80, 91, 101, 95, 79, 86, 83
0x7f323a601fc0, 83, 95, 87, 77, 83, 81
0x7f323a602000, 92, 100, 95, 85, 91, 89
0x7f323a602040, 95, 103, 99, 85, 91, 87
0x7f323a602080, 93, 100, 96, 81, 87, 83
0x7f323a6020c0, 83, 97, 89, 79, 91, 81
0x7f323a602100, 92, 100, 95, 85, 92, 89
0x7f323a602140, 93, 108, 97, 83, 90, 87
0x7f323a602180, 91, 99, 95, 79, 85, 83
0x7f323a6021c0, 83, 91, 87, 77, 84, 81
0x7f323a602200, 93, 105, 95, 85, 93, 89
0x7f323a602240, 95, 103, 99, 85, 91, 87
0x7f323a602280, 92, 107, 95, 81, 87, 83
0x7f323a6022c0, 83, 91, 87, 79, 85, 81
0x7f323a602300, 92, 100, 95, 85, 93, 89
0x7f323a602340, 93, 103, 98, 83, 90, 87
0x7f323a602380, 91, 100, 95, 79, 85, 83
0x7f323a6023c0, 83, 89, 85, 77, 84, 81
0x7f323a602400, 94, 108, 98, 83, 91, 87
0x7f323a602440, 91, 101, 95, 85, 91, 89
0x7f323a602480, 83, 90, 87, 77, 85, 81
0x7f323a6024c0, 93, 101, 96, 81, 86, 83
0x7f323a602500, 93, 101, 97, 83, 91, 87
0x7f323a602540, 91, 100, 95, 85, 92, 89
0x7f323a602580, 83, 97, 87, 77, 84, 81
0x7f323a6025c0, 91, 105, 95, 79, 93, 83
0x7f323a602600, 95, 103, 98, 85, 90, 87
0x7f323a602640, 91, 105, 95, 85, 92, 89
0x7f323a602680, 83, 91, 87, 79, 89, 81
0x7f323a6026c0, 93, 101, 97, 81, 86, 83
0x7f323a602700, 93, 111, 100, 83, 90, 87
0x7f323a602740, 91, 100, 95, 85, 99, 89
0x7f323a602780, 83, 89, 85, 77, 83, 81
0x7f323a6027c0, 91, 105, 95, 79, 86, 83
0x7f323a602800, 92, 100, 96, 81, 93, 83
0x7f323a602840, 83, 91, 87, 79, 85, 81
0x7f323a602880, 92, 105, 95, 85, 91, 89
0x7f323a6028c0, 95, 103, 98, 85, 97, 87
0x7f323a602900, 91, 100, 95, 79, 86, 83
0x7f323a602940, 81, 97, 86, 77, 94, 81
0x7f323a602980, 92, 101, 95, 85, 99, 89
0x7f323a6029c0, 93, 102, 97, 83, 90, 87
0x7f323a602a00, 92, 107, 96, 81, 87, 83
0x7f323a602a40, 83, 91, 87, 79, 91, 81
0x7f323a602a80, 92, 107, 95, 85, 99, 91
0x7f323a602ac0, 95, 109, 99, 85, 91, 87
0x7f323a602b00, 92, 99, 95, 79, 93, 83
0x7f323a602b40, 83, 90, 87, 77, 83, 81
0x7f323a602b80, 92, 107, 95, 85, 92, 89
0x7f323a602bc0, 93, 109, 97, 83, 97, 87
0x7f323a602c00, 83, 93, 87, 79, 85, 81
0x7f323a602c40, 93, 106, 96, 81, 87, 83
0x7f323a602c80, 95, 103, 99, 83, 99, 87
0x7f323a602cc0, 91, 100, 95, 85, 91, 89
0x7f323a602d00, 83, 96, 86, 77, 83, 81
0x7f323a602d40, 91, 107, 97, 79, 91, 83
0x7f323a602d80, 93, 100, 97, 83, 90, 87
0x7f323a602dc0, 91, 105, 95, 85, 92, 89
0x7f323a602e00, 83, 97, 87, 79, 85, 81
0x7f323a602e40, 93, 100, 96, 81, 87, 83
0x7f323a602e80, 94, 110, 98, 83, 91, 87
0x7f323a602ec0, 91, 105, 95, 85, 98, 89
0x7f323a602f00, 83, 91, 87, 77, 83, 81
0x7f323a602f40, 91, 106, 95, 79, 86, 83
0x7f323a602f80, 94, 101, 97, 83, 97, 87
0x7f323a602fc0, 91, 105, 95, 85, 92, 89
0x7f323a603000, 93, 107, 97, 83, 89, 87
0x7f323a603040, 91, 105, 95, 85, 92, 89
0x7f323a603080, 83, 91, 86, 77, 83, 81
0x7f323a6030c0, 91, 105, 95, 79, 85, 83
0x7f323a603100, 95, 108, 98, 83, 91, 87
0x7f323a603140, 91, 100, 95, 85, 92, 89
0x7f323a603180, 83, 99, 87, 79, 85, 81
0x7f323a6031c0, 93, 101, 96, 81, 93, 83
0x7f323a603200, 93, 103, 97, 83, 90, 87
0x7f323a603240, 91, 107, 95, 85, 92, 89
0x7f323a603280, 83, 91, 87, 77, 91, 81
0x7f323a6032c0, 91, 100, 95, 79, 85, 83
0x7f323a603300, 94, 109, 99, 83, 91, 87
0x7f323a603340, 91, 99, 95, 85, 99, 89
0x7f323a603380, 83, 91, 87, 79, 85, 81
0x7f323a6033c0, 92, 109, 97, 81, 87, 83
0x7f323a603400, 92, 107, 95, 85, 91, 89
0x7f323a603440, 93, 101, 97, 83, 89, 87
0x7f323a603480, 91, 105, 95, 79, 85, 83
0x7f323a6034c0, 83, 97, 87, 77, 89, 81
0x7f323a603500, 92, 99, 95, 85, 92, 89
0x7f323a603540, 95, 109, 98, 85, 91, 87
0x7f323a603580, 93, 106, 96, 81, 87, 83
0x7f323a6035c0, 83, 91, 87, 79, 85, 81
0x7f323a603600, 92, 105, 95, 85, 91, 89
0x7f323a603640, 93, 109, 97, 83, 95, 87
0x7f323a603680, 91, 100, 95, 79, 86, 83
0x7f323a6036c0, 83, 97, 86, 77, 85, 81
0x7f323a603700, 92, 101, 95, 85, 99, 89
0x7f323a603740, 95, 102, 98, 85, 91, 87
0x7f323a603780, 93, 108, 96, 81, 87, 83
0x7f323a6037c0, 83, 91, 87, 79, 91, 81
0x7f323a603800, 83, 90, 87, 77, 83, 81
0x7f323a603840, 91, 107, 101, 79, 86, 83
0x7f323a603880, 93, 102, 97, 83, 97, 87
0x7f323a6038c0, 91, 100, 95, 85, 92, 89
0x7f323a603900, 83, 97, 87, 79, 85, 81
0x7f323a603940, 92, 101, 96, 81, 93, 83
0x7f323a603980, 95, 103, 99, 85, 91, 87
0x7f323a6039c0, 91, 107, 95, 85, 93, 89
0x7f323a603a00, 83, 90, 87, 77, 91, 81
0x7f323a603a40, 91, 100, 95, 79, 85, 83
0x7f323a603a80, 93, 109, 97, 83, 90, 87
0x7f323a603ac0, 91, 105, 95, 85, 99, 89
0x7f323a603b00, 83, 91, 87, 79, 85, 81
0x7f323a603b40, 93, 105, 96, 81, 87, 83
0x7f323a603b80, 94, 102, 98, 85, 98, 87
0x7f323a603bc0, 91, 99, 95, 85, 92, 89
0x7f323a603c00, 91, 105, 95, 79, 97, 83
0x7f323a603c40, 83, 97, 87, 77, 89, 81
0x7f323a603c80, 92, 100, 95, 85, 93, 89
0x7f323a603cc0, 93, 107, 97, 83, 90, 87
0x7f323a603d00, 92, 107, 95, 81, 86, 83
0x7f323a603d40, 83, 91, 87, 79, 85, 81
0x7f323a603d80, 92, 107, 96, 85, 92, 89
0x7f323a603dc0, 95, 108, 99, 85, 97, 88
0x7f323a603e00, 91, 99, 95, 79, 86, 83
0x7f323a603e40, 83, 97, 85, 77, 83, 81
0x7f323a603e80, 92, 99, 95, 85, 99, 89
0x7f323a603ec0, 93, 101, 97, 83, 89, 87
0x7f323a603f00, 92, 107, 95, 81, 87, 83
0x7f323a603f40, 83, 91, 87, 79, 91, 81
0x7f323a603f80, 92, 100, 95, 85, 92, 89
0x7f323a603fc0, 95, 102, 99, 85, 91, 87
0x7f323a604000, 83, 89, 85, 77, 91, 81
0x7f323a604040, 91, 101, 96, 79, 85, 83
0x7f323a604080, 93, 108, 97, 83, 89, 87
0x7f323a6040c0, 93, 99, 95, 85, 99, 89
0x7f323a604100, 83, 92, 87, 79, 85, 81
0x7f323a604140, 92, 107, 95, 81, 86, 83
0x7f323a604180, 94, 102, 98, 85, 97, 87
0x7f323a6041c0, 91, 99, 95, 85, 92, 89
0x7f323a604200, 83, 97, 86, 77, 83, 81
0x7f323a604240, 91, 100, 95, 79, 93, 83
0x7f323a604280, 93, 101, 97, 83, 89, 87
0x7f323a6042c0, 91, 105, 95, 85, 92, 89
0x7f323a604300, 83, 91, 87, 79, 91, 81
0x7f323a604340, 93, 99, 95, 81, 87, 83
0x7f323a604380, 93, 109, 98, 85, 91, 87
0x7f323a6043c0, 91, 99, 95, 85, 99, 89
0x7f323a604400, 91, 99, 95, 79, 86, 83
0x7f323a604440, 83, 95, 86, 77, 83, 81
0x7f323a604480, 92, 106, 95, 85, 99, 89
0x7f323a6044c0, 93, 101, 97, 83, 89, 87
0x7f323a604500, 92, 105, 96, 81, 87, 83
0x7f323a604540, 83, 91, 87, 79, 91, 81
0x7f323a604580, 91, 99, 95, 85, 92, 89
0x7f323a6045c0, 95, 109, 98, 85, 91, 87
0x7f323a604600, 91, 100, 95, 79, 93, 83
0x7f323a604640, 83, 97, 87, 77, 83, 81
0x7f323a604680, 92, 105, 95, 85, 92, 89
0x7f323a6046c0, 93, 100, 97, 83, 97, 87
0x7f323a604700, 93, 100, 95, 81, 87, 83
0x7f323a604740, 83, 103, 87, 79, 85, 81
0x7f323a604780, 92, 99, 95, 85, 99, 89
0x7f323a6047c0, 95, 102, 99, 85, 91, 87
0x7f323a604800, 93, 107, 97, 83, 91, 87
0x7f323a604840, 91, 99, 95, 85, 101, 89
0x7f323a604880, 83, 89, 87, 77, 84, 81
0x7f323a6048c0, 91, 105, 95, 79, 85, 83
0x7f323a604900, 94, 103, 98, 85, 99, 87
0x7f323a604940, 91, 100, 95, 85, 92, 89
0x7f323a604980, 83, 97, 87, 79, 85, 81
0x7f323a6049c0, 93, 101, 97, 81, 93, 83
0x7f323a604a00, 93, 101, 97, 83, 90, 87
0x7f323a604a40, 91, 105, 95, 85, 91, 89
0x7f323a604a80, 83, 91, 86, 77, 89, 81
0x7f323a604ac0, 91, 99, 95, 79, 85, 83
0x7f323a604b00, 94, 109, 99, 83, 91, 87
0x7f323a604b40, 91, 100, 95, 85, 99, 89
0x7f323a604b80, 83, 91, 87, 79, 85, 81
0x7f323a604bc0, 92, 106, 95, 81, 87, 83
0x7f323a604c00, 92, 99, 95, 85, 99, 89
0x7f323a604c40, 93, 107, 97, 83, 90, 87
0x7f323a604c80, 91, 107, 96, 79, 85, 83
0x7f323a604cc0, 83, 97, 86, 77, 83, 81
0x7f323a604d00, 92, 99, 95, 85, 92, 89
0x7f323a604d40, 95, 102, 98, 85, 91, 87
0x7f323a604d80, 92, 107, 96, 81, 87, 83
0x7f323a604dc0, 83, 91, 87, 79, 85, 81
0x7f323a604e00, 91, 105, 95, 85, 92, 89
0x7f323a604e40, 93, 107, 97, 83, 90, 87
0x7f323a604e80, 93, 99, 95, 79, 86, 83
0x7f323a604ec0, 83, 96, 85, 77, 83, 81
0x7f323a604f00, 92, 105, 95, 85, 92, 89
0x7f323a604f40, 94, 103, 98, 85, 91, 87
0x7f323a604f80, 93, 106, 95, 81, 87, 83
0x7f323a604fc0, 83, 97, 87, 79, 91, 81
0x7f323a605000, 93, 101, 95, 81, 87, 83
0x7f323a605040, 83, 96, 87, 79, 85, 81
0x7f323a605080, 91, 99, 95, 85, 101, 89
0x7f323a6050c0, 94, 102, 98, 85, 91, 87
0x7f323a605100, 91, 106, 95, 79, 86, 83
0x7f323a605140, 83, 90, 86, 77, 89, 81
0x7f323a605180, 92, 100, 95, 85, 91, 89
0x7f323a6051c0, 93, 108, 97, 83, 90, 87
0x7f323a605200, 92, 101, 97, 81, 93, 83
0x7f323a605240, 83, 91, 87, 79, 85, 81
0x7f323a605280, 92, 107, 95, 85, 93, 89
0x7f323a6052c0, 95, 103, 98, 85, 97, 87
0x7f323a605300, 91, 110, 95, 81, 129, 89
0x7f323a605340, 83, 105, 90, 77, 99, 81
0x7f323a605380, 92, 105, 95, 85, 93, 89
0x7f323a6053c0, 93, 102, 97, 83, 97, 87
0x7f323a605400, 83, 91, 87, 79, 85, 81
0x7f323a605440, 91, 106, 95, 81, 85, 83
0x7f323a605480, 95, 102, 98, 85, 97, 87
0x7f323a6054c0, 91, 99, 95, 85, 92, 89
0x7f323a605500, 83, 95, 86, 77, 83, 81
0x7f323a605540, 91, 100, 95, 79, 93, 83
0x7f323a605580, 93, 101, 97, 83, 90, 87
0x7f323a6055c0, 91, 105, 95, 85, 92, 89
0x7f323a605600, 83, 90, 87, 79, 91, 81
0x7f323a605640, 92, 107, 96, 81, 87, 83
0x7f323a605680, 94, 109, 99, 83, 91, 87
0x7f323a6056c0, 92, 101, 96, 85, 99, 89
0x7f323a605700, 83, 91, 87, 77, 83, 81
0x7f323a605740, 91, 109, 95, 79, 85, 83
0x7f323a605780, 93, 102, 97, 83, 97, 87
0x7f323a6057c0, 91, 100, 95, 85, 91, 89
0x7f323a605800, 92, 106, 95, 85, 92, 89
0x7f323a605840, 95, 101, 98, 85, 97, 87
0x7f323a605880, 92, 99, 95, 81, 87, 83
0x7f323a6058c0, 83, 97, 87, 79, 93, 83
0x7f323a605900, 92, 105, 95, 85, 99, 89
0x7f323a605940, 93, 108, 97, 83, 97, 87
0x7f323a605980, 91, 100, 95, 79, 85, 83
0x7f323a6059c0, 83, 97, 86, 77, 85, 81
0x7f323a605a00, 92, 99, 95, 85, 98, 89
0x7f323a605a40, 95, 101, 98, 85, 91, 87
0x7f323a605a80, 93, 107, 95, 81, 87, 83
0x7f323a605ac0, 83, 91, 87, 79, 91, 81
0x7f323a605b00, 92, 100, 95, 85, 93, 89
0x7f323a605b40, 93, 107, 97, 83, 90, 87
0x7f323a605b80, 91, 98, 95, 79, 91, 83
0x7f323a605bc0, 83, 90, 87, 77, 83, 81
0x7f323a605c00, 95, 108, 98, 83, 91, 87
0x7f323a605c40, 91, 99, 95, 85, 99, 89
0x7f323a605c80, 83, 93, 87, 79, 85, 81
0x7f323a605cc0, 93, 107, 95, 81, 87, 83
0x7f323a605d00, 93, 101, 97, 83, 97, 87
0x7f323a605d40, 91, 100, 95, 85, 92, 89
0x7f323a605d80, 83, 96, 87, 77, 91, 81
0x7f323a605dc0, 91, 109, 95, 79, 94, 88
0x7f323a605e00, 95, 103, 98, 83, 91, 87
0x7f323a605e40, 91, 105, 95, 85, 92, 89
0x7f323a605e80, 83, 91, 87, 79, 91, 81
0x7f323a605ec0, 92, 99, 95, 81, 87, 83
0x7f323a605f00, 93, 108, 97, 83, 97, 87
0x7f323a605f40, 91, 184, 97, 85, 178, 91
0x7f323a605f80, 83, 97, 87, 77, 84, 81
0x7f323a605fc0, 91, 101, 95, 79, 86, 83
0x7f323a606000, 95, 108, 99, 83, 91, 87
0x7f323a606040, 91, 99, 95, 85, 93, 89
0x7f323a606080, 83, 95, 87, 79, 85, 81
0x7f323a6060c0, 92, 107, 97, 81, 87, 83
0x7f323a606100, 93, 101, 97, 83, 89, 87
0x7f323a606140, 91, 105, 95, 85, 101, 89
0x7f323a606180, 83, 105, 87, 77, 83, 81
