hmin4, hmax4, hmed4, mmin4, mmax4, mmed4
93, 154, 99, 81, 87, 83
85, 99, 88, 79, 85, 81
93, 102, 97, 87, 93, 91
95, 109, 99, 85, 91, 87
93, 109, 99, 81, 88, 85
85, 93, 89, 79, 86, 83
93, 107, 97, 87, 93, 91
95, 109, 99, 85, 93, 89
92, 101, 96, 81, 87, 83
83, 97, 87, 79, 85, 81
93, 107, 98, 87, 101, 91
95, 109, 99, 85, 98, 94
93, 101, 97, 81, 89, 85
85, 99, 89, 79, 86, 83
93, 102, 97, 87, 101, 91
96, 105, 99, 85, 92, 89
83, 97, 89, 79, 85, 81
93, 100, 97, 81, 95, 84
94, 103, 99, 85, 91, 87
93, 107, 97, 87, 94, 91
85, 93, 89, 79, 95, 83
94, 103, 97, 81, 88, 85
95, 110, 101, 85, 93, 89
93, 102, 97, 87, 101, 91
83, 92, 89, 79, 85, 81
93, 107, 97, 81, 87, 83
93, 104, 99, 85, 98, 88
93, 101, 97, 87, 94, 91
85, 101, 89, 79, 87, 83
94, 102, 97, 81, 95, 85
95, 105, 100, 85, 93, 89
93, 107, 97, 87, 93, 90
93, 101, 97, 87, 101, 91
95, 104, 99, 85, 91, 87
92, 115, 102, 81, 87, 83
85, 93, 88, 79, 91, 81
93, 109, 97, 87, 93, 91
95, 109, 99, 85, 91, 89
93, 103, 97, 81, 95, 85
85, 93, 89, 79, 86, 83
93, 113, 97, 87, 94, 91
95, 102, 98, 85, 99, 88
92, 100, 95, 81, 87, 83
85, 97, 88, 79, 85, 81
93, 101, 97, 87, 101, 91
95, 109, 99, 85, 91, 89
93, 108, 97, 81, 88, 85
85, 93, 89, 79, 95, 83
94, 103, 99, 85, 91, 87
93, 107, 97, 87, 93, 91
85, 93, 88, 79, 91, 81
93, 108, 97, 81, 87, 83
95, 116, 99, 85, 92, 89
93, 102, 97, 87, 101, 91
85, 93, 89, 79, 86, 83
94, 107, 97, 81, 88, 85
94, 103, 99, 85, 97, 88
93, 101, 97, 87, 93, 91
85, 105, 87, 79, 86, 81
93, 100, 95, 81, 93, 83
95, 111, 100, 85, 93, 89
93, 107, 97, 87, 93, 91
85, 99, 89, 79, 91, 83
93, 101, 97, 81, 88, 85
85, 102, 89, 79, 86, 83
95, 103, 97, 81, 95, 85
95, 105, 100, 85, 92, 89
93, 107, 97, 87, 94, 91
83, 92, 87, 79, 91, 81
93, 101, 97, 81, 87, 83
94, 109, 99, 85, 91, 87
93, 101, 97, 87, 101, 91
85, 93, 89, 79, 86, 83
93, 107, 97, 81, 88, 85
95, 104, 99, 85, 275, 90
93, 108, 97, 87, 100, 91
83, 91, 87, 79, 86, 81
93, 108, 97, 81, 87, 83
94, 103, 99, 83, 91, 87
93, 102, 97, 87, 93, 91
93, 109, 97, 81, 89, 85
85, 93, 89, 79, 91, 83
93, 101, 97, 87, 94, 91
96, 113, 99, 85, 92, 89
92, 101, 97, 81, 93, 83
85, 99, 89, 79, 91, 81
93, 106, 97, 87, 93, 91
95, 103, 99, 85, 98, 88
93, 102, 97, 81, 88, 85
85, 105, 89, 79, 86, 83
93, 101, 97, 87, 101, 91
97, 105, 101, 85, 91, 89
92, 106, 95, 81, 87, 83
83, 91, 87, 79, 91, 81
93, 101, 97, 87, 93, 91
95, 112, 99, 85, 91, 88
95, 105, 100, 85, 99, 89
93, 101, 97, 87, 94, 91
85, 97, 89, 79, 86, 83
95, 103, 97, 81, 94, 85
95, 103, 99, 83, 92, 87
93, 113, 97, 87, 94, 91
83, 92, 87, 79, 91, 81
93, 101, 96, 81, 87, 83
95, 110, 100, 85, 91, 89
93, 101, 97, 87, 103, 91
85, 93, 89, 79, 156, 83
94, 109, 98, 81, 88, 85
95, 103, 99, 85, 101, 89
93, 107, 97, 87, 93, 91
83, 99, 87, 79, 85, 81
92, 107, 96, 81, 103, 83
93, 101, 97, 87, 93, 91
95, 111, 99, 85, 92, 89
93, 108, 97, 81, 95, 85
85, 101, 89, 79, 93, 83
93, 101, 97, 87, 101, 91
95, 111, 99, 85, 91, 87
92, 107, 97, 81, 95, 84
83, 99, 87, 79, 85, 81
93, 110, 97, 87, 94, 91
95, 104, 100, 85, 99, 89
93, 102, 97, 81, 88, 85
85, 99, 89, 79, 86, 83
93, 101, 97, 87, 101, 91
95, 103, 99, 85, 91, 88
93, 117, 97, 81, 87, 83
85, 91, 89, 79, 97, 81
93, 102, 97, 87, 93, 91
95, 111, 99, 85, 92, 89
95, 103, 99, 81, 95, 85
85, 94, 89, 79, 85, 83
93, 107, 97, 87, 93, 91
95, 104, 99, 85, 101, 88
93, 108, 97, 81, 87, 83
83, 99, 87, 79, 85, 81
93, 107, 97, 87, 93, 91
95, 104, 99, 85, 91, 89
93, 109, 97, 81, 88, 85
85, 100, 89, 79, 87, 83
93, 101, 97, 87, 93, 91
95, 109, 99, 85, 91, 87
93, 107, 99, 81, 87, 83
85, 91, 89, 79, 93, 89
95, 113, 99, 85, 92, 89
93, 108, 97, 87, 94, 91
85, 92, 89, 79, 91, 83
94, 109, 97, 81, 88, 85
93, 113, 99, 85, 99, 88
93, 102, 97, 87, 101, 91
83, 92, 87, 79, 85, 81
93, 109, 97, 81, 87, 83
97, 105, 100, 85, 99, 89
93, 101, 97, 87, 93, 91
85, 99, 89, 79, 86, 83
94, 102, 98, 81, 97, 85
93, 104, 99, 83, 91, 87
93, 107, 97, 87, 94, 91
83, 93, 88, 79, 91, 81
93, 108, 96, 81, 101, 85
93, 102, 97, 81, 88, 85
85, 97, 89, 79, 86, 83
93, 101, 97, 87, 93, 91
95, 103, 100, 85, 91, 89
92, 107, 96, 81, 87, 83
83, 101, 87, 79, 85, 81
93, 107, 97, 87, 93, 91
95, 109, 99, 85, 91, 87
93, 101, 97, 81, 93, 85
85, 93, 89, 79, 86, 83
93, 262, 97, 87, 93, 91
95, 111, 99, 85, 99, 89
93, 101, 96, 81, 87, 83
83, 99, 87, 79, 85, 81
93, 101, 97, 87, 101, 91
95, 103, 99, 85, 91, 88
85, 98, 89, 79, 86, 83
94, 103, 97, 81, 95, 85
97, 103, 100, 85, 91, 89
93, 107, 97, 87, 94, 91
83, 92, 87, 79, 93, 81
93, 100, 96, 81, 87, 83
93, 109, 99, 85, 91, 87
93, 108, 97, 87, 101, 91
85, 93, 89, 79, 86, 83
94, 109, 97, 81, 89, 85
95, 104, 99, 85, 99, 89
93, 101, 97, 87, 94, 91
83, 99, 87, 79, 85, 81
92, 101, 96, 81, 87, 83
94, 104, 99, 83, 91, 87
93, 115, 97, 87, 94, 91
95, 103, 99, 85, 99, 88
93, 100, 97, 87, 94, 91
83, 97, 87, 79, 85, 81
93, 109, 96, 81, 95, 84
95, 111, 99, 85, 91, 89
93, 114, 97, 87, 93, 91
85, 92, 89, 79, 93, 83
94, 101, 97, 81, 89, 85
93, 109, 99, 85, 91, 87
94, 102, 99, 87, 101, 91
83, 91, 87, 79, 85, 81
93, 111, 96, 81, 87, 83
95, 104, 100, 85, 99, 89
93, 100, 97, 87, 93, 91
85, 100, 89, 79, 86, 83
94, 102, 97, 81, 94, 85
93, 102, 99, 87, 101, 91
95, 110, 99, 85, 91, 87
92, 101, 97, 81, 99, 84
83, 93, 87, 79, 85, 81
93, 105, 97, 87, 94, 91
97, 105, 101, 85, 99, 89
94, 103, 97, 81, 269, 85
85, 99, 89, 79, 86, 83
93, 111, 97, 87, 93, 91
95, 102, 99, 85, 99, 88
92, 101, 97, 81, 87, 83
85, 99, 89, 79, 85, 81
93, 102, 97, 87, 106, 91
95, 105, 99, 85, 93, 89
93, 108, 97, 81, 95, 85
85, 101, 89, 79, 92, 83
83, 91, 87, 79, 85, 81
93, 107, 96, 81, 88, 83
93, 111, 99, 85, 99, 87
93, 101, 97, 87, 93, 91
85, 97, 89, 79, 86, 83
94, 103, 98, 81, 93, 85
95, 104, 99, 85, 92, 89
93, 106, 97, 87, 94, 91
83, 99, 93, 79, 85, 81
93, 101, 96, 81, 87, 83
94, 111, 99, 83, 91, 87
93, 107, 99, 87, 101, 91
85, 93, 89, 79, 85, 83
94, 108, 97, 81, 89, 85
97, 114, 100, 85, 99, 89
93, 102, 97, 87, 93, 91
92, 108, 95, 81, 87, 83
85, 97, 87, 79, 91, 81
93, 107, 97, 87, 93, 91
95, 103, 99, 85, 91, 87
94, 107, 97, 81, 88, 85
85, 93, 89, 79, 86, 83
93, 107, 97, 87, 94, 91
95, 111, 99, 85, 91, 89
93, 100, 97, 81, 87, 83
85, 99, 87, 79, 85, 81
93, 107, 99, 87, 93, 91
95, 104, 99, 85, 91, 87
94, 109, 97, 81, 89, 85
85, 98, 89, 79, 93, 83
93, 108, 97, 87, 106, 91
95, 104, 100, 85, 91, 89
83, 99, 87, 79, 85, 81
93, 101, 97, 81, 95, 85
94, 103, 99, 85, 91, 89
93, 111, 97, 87, 93, 91
85, 93, 89, 79, 93, 83
93, 107, 97, 81, 88, 85
95, 152, 101, 85, 91, 89
93, 101, 97, 87, 94, 91
83, 91, 88, 79, 85, 81
93, 107, 97, 81, 87, 83
95, 103, 99, 85, 99, 88
93, 102, 97, 87, 93, 91
85, 99, 89, 79, 87, 83
95, 102, 98, 81, 93, 85
95, 104, 99, 85, 92, 89
93, 111, 97, 87, 93, 91
92, 101, 95, 81, 95, 83
83, 93, 87, 79, 85, 81
93, 113, 97, 87, 93, 91
95, 104, 99, 85, 99, 88
93, 101, 97, 81, 88, 85
85, 98, 89, 79, 86, 83
93, 101, 97, 87, 101, 91
96, 104, 99, 85, 91, 89
93, 108, 96, 81, 87, 83
83, 93, 87, 79, 99, 83
93, 109, 97, 87, 93, 91
95, 114, 99, 85, 91, 87
95, 108, 99, 81, 95, 85
85, 93, 89, 79, 86, 83
93, 107, 97, 87, 94, 91
95, 110, 99, 85, 99, 89
93, 102, 99, 83, 91, 87
93, 103, 97, 87, 93, 91
83, 91, 87, 79, 85, 81
93, 102, 97, 81, 87, 83
95, 105, 99, 85, 91, 89
93, 101, 97, 87, 93, 91
85, 94, 89, 79, 86, 83
93, 110, 97, 81, 88, 85
94, 103, 99, 85, 98, 88
93, 107, 97, 87, 164, 91
83, 99, 87, 79, 85, 81
93, 103, 99, 81, 93, 83
95, 103, 100, 85, 91, 89
93, 108, 97, 87, 93, 91
85, 93, 89, 79, 95, 83
93, 103, 97, 81, 88, 85
93, 107, 97, 87, 93, 90
95, 103, 99, 85, 99, 88
92, 101, 97, 81, 88, 83
83, 99, 89, 79, 85, 81
93, 113, 97, 87, 101, 91
95, 111, 99, 85, 97, 89
93, 101, 97, 81, 88, 85
85, 93, 89, 79, 86, 83
93, 100, 97, 87, 97, 91
95, 104, 99, 85, 91, 87
93, 102, 97, 81, 87, 83
85, 93, 89, 79, 85, 81
93, 105, 97, 87, 94, 91
95, 104, 99, 85, 91, 89
93, 102, 97, 81, 88, 85
85, 93, 89, 79, 86, 83
93, 106, 97, 81, 95, 85
85, 92, 89, 79, 87, 83
93, 105, 97, 87, 93, 91
95, 105, 99, 85, 91, 89
95, 102, 99, 81, 87, 83
83, 92, 88, 79, 85, 81
93, 101, 97, 87, 94, 91
95, 103, 99, 85, 91, 88
93, 102, 97, 81, 88, 85
85, 93, 89, 79, 85, 83
93, 107, 97, 87, 93, 91
