hmin6, hmax6, hmed6, mmin6, mmax6, mmed6
89, 112, 95, 83, 105, 90
91, 138, 99, 81, 88, 85
87, 101, 91, 83, 91, 87
83, 93, 87, 81, 95, 85
89, 103, 93, 83, 89, 85
91, 111, 99, 81, 89, 85
88, 111, 99, 85, 99, 88
85, 93, 88, 81, 88, 85
89, 101, 91, 81, 87, 85
91, 100, 95, 81, 95, 85
87, 93, 91, 83, 97, 87
83, 97, 87, 81, 89, 85
87, 97, 93, 83, 97, 85
92, 101, 97, 81, 89, 85
87, 105, 91, 83, 91, 87
85, 93, 89, 81, 97, 85
91, 105, 95, 81, 93, 85
89, 102, 92, 81, 88, 85
83, 91, 87, 81, 100, 85
87, 95, 90, 83, 91, 87
91, 101, 95, 81, 88, 85
89, 95, 92, 81, 91, 85
85, 99, 89, 81, 88, 85
89, 101, 91, 85, 91, 87
91, 98, 94, 81, 89, 85
89, 103, 92, 81, 87, 85
83, 97, 87, 81, 89, 85
87, 95, 90, 83, 90, 87
91, 111, 95, 81, 88, 85
89, 111, 93, 81, 97, 85
85, 93, 88, 81, 89, 85
87, 103, 91, 85, 90, 88
87, 101, 90, 83, 91, 87
83, 99, 87, 81, 89, 85
89, 103, 92, 81, 87, 85
91, 105, 94, 81, 93, 85
87, 95, 91, 83, 91, 87
85, 99, 89, 81, 88, 85
87, 96, 92, 81, 97, 85
91, 105, 95, 81, 89, 85
87, 102, 89, 83, 91, 87
85, 91, 87, 81, 89, 85
89, 98, 92, 81, 87, 85
91, 99, 94, 81, 88, 85
87, 94, 91, 83, 99, 87
85, 93, 88, 81, 88, 85
87, 97, 92, 81, 89, 85
93, 101, 97, 81, 88, 85
83, 93, 87, 81, 88, 85
87, 102, 90, 83, 91, 87
91, 98, 93, 81, 95, 85
89, 97, 91, 81, 87, 85
85, 93, 88, 81, 92, 85
87, 95, 91, 85, 91, 87
91, 101, 95, 81, 88, 85
89, 97, 93, 81, 107, 85
83, 101, 87, 81, 89, 85
87, 101, 90, 83, 91, 87
91, 99, 95, 81, 124, 85
89, 97, 92, 81, 87, 85
85, 101, 89, 81, 88, 85
87, 96, 91, 85, 101, 88
91, 99, 95, 81, 88, 85
89, 103, 93, 83, 89, 85
91, 98, 95, 81, 91, 85
89, 97, 93, 81, 89, 85
85, 95, 89, 81, 88, 85
87, 103, 91, 85, 99, 87
91, 99, 94, 81, 88, 85
89, 99, 92, 81, 88, 85
85, 91, 87, 81, 89, 85
87, 93, 89, 83, 91, 87
91, 100, 95, 81, 93, 85
89, 103, 92, 83, 89, 85
85, 92, 88, 81, 88, 85
89, 96, 91, 85, 95, 87
91, 97, 93, 81, 95, 85
89, 103, 92, 81, 87, 85
85, 93, 88, 81, 95, 85
87, 103, 90, 83, 91, 87
88, 260, 94, 81, 97, 86
91, 99, 95, 81, 95, 85
89, 96, 93, 83, 91, 88
85, 99, 89, 81, 88, 85
89, 102, 93, 81, 99, 85
91, 97, 95, 81, 89, 85
87, 99, 91, 83, 90, 87
83, 91, 87, 81, 95, 85
88, 103, 92, 81, 89, 85
92, 101, 96, 81, 88, 85
87, 101, 91, 85, 92, 88
85, 99, 89, 81, 88, 85
89, 97, 92, 81, 87, 85
91, 97, 93, 81, 91, 85
87, 95, 90, 83, 91, 87
83, 91, 87, 81, 96, 85
85, 92, 88, 81, 88, 85
89, 97, 91, 85, 91, 87
91, 100, 95, 81, 89, 85
89, 96, 92, 83, 89, 85
83, 93, 88, 81, 88, 85
89, 96, 92, 83, 101, 87
91, 99, 95, 81, 88, 85
89, 97, 92, 81, 87, 85
85, 93, 88, 81, 91, 85
87, 94, 91, 85, 91, 87
91, 100, 95, 81, 103, 85
89, 110, 93, 81, 97, 85
83, 93, 87, 81, 88, 85
87, 103, 91, 83, 91, 87
91, 99, 94, 81, 95, 85
89, 97, 94, 81, 88, 85
87, 103, 93, 85, 91, 87
85, 97, 88, 81, 91, 85
87, 102, 93, 83, 89, 85
91, 105, 95, 81, 89, 85
87, 93, 89, 83, 91, 87
83, 97, 87, 81, 89, 85
89, 110, 92, 81, 87, 85
91, 97, 93, 81, 88, 85
87, 101, 91, 85, 91, 87
85, 99, 89, 81, 89, 85
87, 97, 93, 81, 89, 85
91, 105, 95, 81, 87, 85
87, 101, 91, 83, 95, 87
83, 98, 87, 81, 88, 85
89, 97, 92, 81, 88, 85
91, 99, 94, 81, 89, 85
87, 97, 91, 85, 91, 87
85, 94, 89, 81, 102, 85
87, 97, 92, 81, 90, 85
91, 113, 95, 81, 88, 85
87, 100, 90, 83, 90, 87
85, 91, 87, 81, 95, 85
89, 97, 92, 81, 88, 85
91, 105, 95, 81, 99, 85
87, 95, 91, 85, 99, 88
85, 94, 89, 81, 87, 85
87, 102, 93, 83, 89, 85
91, 99, 95, 81, 95, 85
87, 94, 91, 83, 90, 87
83, 99, 87, 81, 88, 85
89, 97, 93, 81, 105, 85
91, 109, 95, 81, 99, 85
85, 99, 89, 81, 89, 85
87, 95, 91, 85, 99, 88
91, 99, 95, 81, 99, 85
89, 103, 92, 83, 89, 85
85, 93, 87, 81, 95, 85
87, 99, 89, 83, 90, 87
91, 108, 95, 81, 88, 85
89, 97, 93, 81, 93, 85
85, 100, 89, 81, 95, 85
87, 103, 91, 85, 91, 87
91, 105, 95, 81, 97, 85
89, 97, 93, 81, 97, 85
85, 99, 87, 81, 268, 85
87, 99, 90, 83, 98, 87
91, 97, 94, 81, 93, 85
89, 102, 92, 81, 87, 85
89, 101, 93, 83, 93, 85
91, 99, 95, 81, 88, 85
87, 107, 91, 85, 91, 87
85, 97, 89, 81, 95, 85
89, 96, 91, 81, 88, 85
91, 104, 94, 81, 88, 85
87, 95, 90, 83, 99, 87
83, 92, 87, 81, 88, 85
87, 105, 92, 83, 97, 85
91, 99, 95, 81, 95, 85
87, 95, 91, 85, 91, 87
85, 99, 89, 81, 88, 85
89, 97, 92, 81, 95, 85
91, 98, 93, 81, 88, 85
87, 111, 90, 83, 90, 87
