hmin1, hmax1, hmed1, mmin1, mmax1, mmed1
83, 105, 88, 79, 85, 81
85, 99, 89, 79, 85, 81
89, 97, 93, 85, 91, 87
91, 107, 95, 83, 89, 85
83, 92, 87, 79, 86, 83
85, 109, 89, 79, 95, 81
91, 103, 93, 85, 91, 89
91, 100, 95, 83, 89, 85
83, 97, 87, 79, 85, 81
85, 97, 89, 79, 93, 81
89, 97, 93, 85, 91, 87
92, 105, 95, 81, 89, 86
85, 91, 87, 79, 93, 83
87, 95, 89, 79, 85, 81
91, 105, 93, 85, 92, 89
92, 101, 95, 83, 96, 87
85, 92, 89, 79, 85, 81
83, 95, 87, 79, 85, 81
92, 110, 95, 83, 97, 86
89, 97, 93, 85, 91, 87
87, 99, 89, 79, 85, 81
83, 91, 87, 79, 96, 83
93, 109, 96, 83, 89, 85
89, 105, 93, 85, 91, 89
85, 93, 89, 79, 93, 81
83, 91, 87, 79, 85, 81
93, 107, 97, 83, 89, 85
89, 104, 93, 85, 97, 87
87, 93, 89, 79, 85, 81
83, 99, 87, 79, 85, 83
93, 107, 96, 83, 97, 86
89, 98, 93, 85, 91, 89
89, 103, 93, 83, 91, 87
91, 108, 95, 83, 97, 87
83, 92, 89, 79, 85, 81
85, 99, 89, 79, 84, 81
91, 99, 93, 85, 98, 89
92, 101, 95, 83, 89, 86
85, 99, 87, 79, 85, 83
85, 93, 89, 79, 93, 81
89, 98, 93, 85, 91, 87
91, 105, 95, 83, 89, 85
83, 105, 87, 79, 91, 81
85, 93, 89, 79, 85, 81
91, 104, 93, 85, 91, 89
91, 100, 95, 81, 97, 86
85, 91, 87, 79, 85, 83
85, 99, 89, 79, 97, 81
91, 100, 95, 83, 97, 87
89, 97, 93, 85, 91, 87
85, 103, 89, 79, 85, 81
83, 90, 87, 79, 91, 81
92, 99, 95, 83, 89, 85
89, 105, 93, 85, 91, 89
87, 95, 89, 79, 97, 81
83, 91, 87, 79, 86, 83
93, 105, 97, 83, 89, 85
89, 97, 93, 85, 99, 87
85, 93, 89, 79, 91, 81
83, 100, 91, 79, 85, 81
91, 100, 95, 83, 96, 86
89, 98, 93, 85, 92, 89
87, 99, 89, 79, 85, 81
83, 91, 87, 79, 89, 83
87, 93, 89, 79, 85, 81
83, 97, 87, 79, 85, 83
92, 101, 95, 83, 101, 86
89, 105, 93, 85, 91, 89
