hmin2, hmax2, hmed2, mmin2, mmax2, mmed2
89, 109, 98, 87, 95, 89
91, 107, 100, 81, 95, 90
93, 101, 95, 89, 97, 93
89, 99, 93, 87, 93, 90
95, 103, 98, 87, 95, 91
97, 105, 101, 87, 93, 90
87, 93, 89, 83, 89, 87
83, 273, 87, 81, 95, 85
87, 101, 91, 81, 93, 83
89, 97, 93, 81, 87, 83
85, 99, 89, 83, 89, 85
83, 91, 87, 81, 93, 83
87, 94, 91, 81, 87, 83
89, 104, 93, 81, 87, 83
87, 93, 89, 83, 97, 87
83, 92, 87, 81, 87, 83
89, 98, 93, 81, 87, 83
87, 95, 91, 79, 86, 83
83, 89, 85, 81, 87, 83
85, 93, 89, 81, 89, 85
91, 99, 93, 81, 87, 83
87, 95, 91, 81, 87, 83
83, 91, 87, 81, 87, 83
85, 93, 89, 83, 90, 87
89, 96, 93, 81, 87, 83
87, 95, 91, 79, 87, 83
83, 92, 86, 81, 87, 83
85, 93, 89, 83, 89, 85
91, 99, 95, 81, 87, 83
87, 96, 91, 81, 95, 84
83, 93, 87, 81, 87, 83
85, 95, 91, 83, 89, 87
85, 93, 89, 83, 89, 85
83, 91, 87, 81, 87, 83
87, 102, 91, 79, 86, 83
89, 104, 93, 81, 87, 83
87, 95, 91, 83, 97, 87
83, 92, 87, 81, 87, 83
87, 101, 91, 81, 87, 83
91, 98, 93, 81, 93, 83
85, 93, 89, 83, 89, 85
83, 95, 85, 81, 87, 83
87, 95, 91, 81, 93, 83
89, 96, 93, 81, 87, 83
87, 101, 89, 83, 89, 87
83, 91, 87, 81, 87, 83
87, 95, 91, 81, 97, 84
91, 98, 93, 81, 87, 83
83, 91, 87, 81, 87, 83
85, 93, 89, 81, 88, 85
89, 97, 93, 81, 87, 83
87, 96, 91, 79, 87, 83
83, 91, 87, 81, 87, 83
85, 93, 89, 83, 90, 87
91, 98, 93, 81, 87, 83
87, 95, 91, 81, 87, 83
83, 89, 86, 81, 87, 83
85, 99, 89, 83, 89, 85
89, 104, 93, 81, 93, 83
87, 103, 91, 79, 93, 83
83, 91, 87, 81, 87, 83
85, 93, 89, 83, 90, 87
91, 99, 93, 81, 87, 83
87, 95, 91, 81, 87, 83
91, 97, 93, 81, 86, 83
87, 95, 91, 81, 87, 83
83, 93, 87, 81, 87, 83
85, 94, 89, 83, 90, 87
89, 99, 93, 81, 87, 83
87, 95, 91, 79, 86, 83
83, 91, 86, 81, 87, 83
85, 93, 89, 83, 89, 85
91, 97, 93, 81, 87, 83
87, 95, 91, 81, 87, 83
83, 91, 87, 81, 86, 83
85, 93, 89, 83, 90, 87
89, 97, 93, 81, 95, 85
87, 101, 91, 79, 87, 83
83, 90, 87, 81, 93, 83
85, 92, 89, 81, 89, 85
87, 100, 91, 81, 87, 83
89, 97, 93, 81, 93, 83
87, 93, 90, 83, 89, 87
83, 97, 87, 81, 87, 83
87, 95, 91, 81, 93, 83
89, 105, 93, 81, 93, 83
85, 98, 89, 81, 89, 85
83, 90, 87, 81, 93, 83
87, 94, 91, 81, 87, 83
89, 103, 93, 81, 87, 83
87, 95, 89, 83, 97, 87
83, 91, 87, 81, 87, 83
87, 104, 91, 81, 87, 83
89, 97, 93, 81, 95, 89
85, 93, 89, 81, 88, 85
83, 95, 87, 81, 87, 83
83, 93, 88, 81, 95, 85
85, 102, 89, 83, 89, 87
91, 103, 93, 81, 87, 83
87, 95, 91, 81, 93, 84
83, 91, 86, 81, 87, 83
85, 99, 89, 83, 89, 85
89, 98, 93, 81, 93, 83
87, 95, 91, 79, 86, 83
83, 97, 87, 81, 87, 83
85, 94, 90, 83, 99, 87
91, 107, 93, 81, 87, 83
87, 101, 91, 81, 87, 83
83, 91, 86, 81, 97, 83
85, 100, 89, 83, 95, 85
89, 105, 93, 81, 87, 83
87, 95, 91, 79, 93, 83
87, 95, 89, 83, 90, 87
83, 96, 87, 81, 87, 83
87, 95, 91, 81, 93, 84
89, 99, 93, 81, 87, 83
85, 100, 89, 83, 89, 85
83, 91, 87, 81, 95, 83
87, 94, 91, 81, 87, 83
89, 103, 93, 81, 87, 83
87, 103, 89, 83, 90, 87
83, 91, 87, 81, 87, 83
87, 96, 91, 81, 87, 83
93, 99, 95, 81, 87, 83
85, 93, 89, 83, 89, 85
83, 90, 87, 81, 87, 83
87, 94, 91, 81, 86, 83
89, 96, 93, 81, 87, 83
87, 95, 90, 83, 89, 87
85, 93, 89, 81, 87, 83
87, 95, 91, 81, 87, 83
91, 105, 95, 81, 87, 83
85, 94, 91, 83, 89, 85
81, 91, 87, 81, 87, 83
87, 97, 93, 81, 86, 83
89, 97, 93, 81, 94, 83
87, 103, 95, 83, 90, 87
83, 91, 87, 81, 94, 83
87, 94, 91, 81, 87, 83
91, 105, 93, 81, 87, 83
85, 94, 89, 83, 95, 85
83, 91, 89, 81, 87, 83
87, 99, 91, 81, 86, 83
89, 98, 95, 81, 87, 83
83, 93, 87, 81, 87, 83
85, 93, 89, 83, 90, 87
91, 99, 94, 81, 87, 83
87, 96, 91, 81, 88, 85
