hmin7, hmax7, hmed7, mmin7, mmax7, mmed7
90, 111, 99, 83, 89, 85
93, 109, 97, 83, 95, 85
83, 97, 87, 81, 89, 85
85, 99, 90, 83, 89, 85
91, 104, 95, 81, 97, 85
93, 107, 97, 83, 89, 87
85, 99, 89, 83, 89, 85
87, 123, 92, 83, 101, 87
91, 112, 96, 83, 89, 85
93, 109, 97, 81, 89, 85
85, 97, 87, 83, 97, 86
85, 101, 89, 83, 89, 85
91, 107, 95, 81, 89, 85
93, 105, 97, 83, 99, 87
85, 97, 89, 83, 89, 85
87, 101, 91, 83, 89, 85
93, 106, 97, 83, 96, 85
89, 107, 93, 83, 89, 85
87, 101, 89, 81, 89, 85
83, 95, 87, 83, 97, 86
93, 109, 97, 83, 90, 87
91, 105, 95, 83, 89, 85
87, 103, 91, 81, 96, 86
85, 99, 89, 83, 89, 85
93, 107, 97, 81, 88, 85
89, 101, 93, 83, 95, 86
85, 99, 89, 83, 89, 85
83, 98, 87, 83, 89, 85
93, 106, 97, 83, 97, 87
92, 103, 96, 83, 89, 85
87, 101, 91, 81, 89, 85
85, 97, 89, 83, 97, 86
83, 97, 87, 83, 97, 87
85, 107, 89, 83, 89, 85
91, 103, 93, 83, 95, 86
93, 106, 97, 81, 88, 85
85, 99, 89, 81, 89, 85
87, 99, 91, 83, 95, 85
91, 106, 95, 83, 90, 85
93, 107, 97, 83, 90, 87
83, 95, 87, 81, 95, 85
85, 99, 89, 83, 89, 85
90, 111, 93, 81, 89, 85
93, 103, 97, 81, 96, 85
85, 95, 89, 83, 89, 85
87, 101, 91, 83, 89, 85
91, 103, 95, 81, 95, 85
93, 107, 97, 83, 90, 87
87, 99, 89, 81, 89, 85
83, 99, 87, 83, 95, 86
93, 105, 97, 81, 89, 85
89, 102, 93, 83, 89, 85
87, 101, 91, 81, 97, 85
85, 97, 89, 83, 89, 85
93, 105, 97, 83, 90, 87
91, 105, 95, 83, 97, 86
87, 101, 90, 81, 97, 86
83, 105, 87, 83, 89, 85
93, 105, 97, 81, 97, 85
89, 103, 93, 83, 89, 85
87, 101, 91, 81, 89, 85
85, 95, 89, 83, 95, 86
93, 107, 97, 83, 154, 87
91, 111, 95, 83, 89, 85
93, 108, 97, 83, 97, 87
91, 103, 95, 83, 89, 85
87, 101, 91, 81, 89, 85
85, 107, 89, 83, 96, 86
93, 107, 97, 81, 89, 85
89, 105, 93, 83, 89, 85
87, 99, 89, 83, 97, 86
83, 95, 87, 83, 89, 85
93, 107, 97, 83, 89, 87
91, 104, 95, 83, 97, 85
87, 99, 93, 81, 89, 85
85, 101, 89, 83, 97, 87
93, 110, 97, 81, 89, 85
89, 102, 93, 83, 95, 86
85, 99, 89, 81, 89, 85
83, 103, 87, 83, 89, 85
91, 103, 95, 83, 89, 85
93, 107, 97, 83, 89, 87
85, 105, 89, 83, 89, 85
87, 100, 91, 83, 95, 86
89, 101, 94, 83, 89, 85
93, 122, 97, 83, 89, 85
83, 97, 87, 81, 95, 85
87, 99, 91, 83, 90, 85
91, 105, 95, 81, 89, 85
93, 111, 97, 83, 93, 87
85, 97, 89, 83, 89, 85
87, 101, 91, 83, 89, 85
91, 257, 93, 83, 95, 86
93, 105, 97, 81, 89, 85
83, 98, 87, 81, 89, 85
85, 100, 89, 83, 95, 85
87, 101, 91, 83, 89, 85
85, 107, 91, 83, 89, 85
93, 105, 97, 83, 97, 87
91, 106, 95, 83, 89, 85
85, 101, 89, 83, 89, 85
83, 97, 87, 83, 95, 85
93, 105, 97, 81, 89, 85
89, 105, 93, 83, 89, 85
87, 101, 91, 81, 89, 85
85, 99, 89, 83, 89, 85
93, 108, 97, 83, 90, 87
91, 105, 95, 83, 95, 86
85, 99, 89, 83, 89, 85
83, 98, 87, 83, 89, 85
93, 105, 97, 83, 97, 85
89, 105, 93, 83, 89, 85
85, 103, 89, 81, 89, 85
87, 97, 91, 83, 101, 85
91, 103, 95, 83, 89, 85
93, 107, 97, 83, 89, 87
83, 97, 87, 81, 95, 85
87, 99, 91, 83, 89, 85
89, 107, 93, 83, 89, 85
93, 105, 97, 81, 95, 85
85, 97, 89, 83, 89, 85
87, 103, 91, 83, 89, 85
91, 105, 95, 83, 95, 85
93, 107, 97, 83, 90, 87
83, 99, 87, 81, 89, 85
87, 97, 90, 83, 105, 85
89, 102, 93, 83, 89, 85
93, 108, 97, 83, 89, 85
87, 95, 91, 81, 96, 86
87, 99, 91, 83, 89, 85
91, 110, 95, 81, 89, 85
93, 106, 97, 83, 97, 87
83, 97, 87, 81, 89, 85
87, 105, 90, 83, 89, 85
91, 107, 96, 83, 95, 85
93, 106, 97, 83, 89, 85
85, 105, 89, 81, 89, 85
87, 101, 91, 83, 89, 85
91, 105, 95, 83, 89, 85
93, 114, 97, 83, 90, 87
85, 99, 93, 81, 95, 85
86, 99, 89, 83, 89, 85
91, 103, 95, 81, 89, 85
93, 112, 97, 83, 89, 85
87, 101, 93, 83, 89, 85
85, 99, 89, 83, 89, 85
93, 107, 97, 83, 90, 87
91, 103, 95, 83, 95, 85
87, 97, 89, 83, 89, 85
83, 97, 88, 83, 97, 86
93, 105, 97, 83, 97, 85
89, 102, 94, 83, 89, 85
87, 101, 91, 83, 89, 85
85, 99, 89, 83, 95, 86
93, 107, 97, 83, 89, 87
91, 105, 95, 83, 89, 85
85, 101, 89, 83, 97, 86
85, 99, 87, 83, 89, 85
93, 107, 97, 81, 89, 85
89, 102, 93, 83, 95, 85
91, 103, 95, 81, 89, 85
93, 109, 97, 83, 91, 87
85, 97, 89, 83, 95, 87
87, 100, 91, 83, 89, 85
91, 105, 93, 81, 89, 85
93, 105, 97, 81, 95, 85
83, 99, 89, 81, 89, 85
87, 99, 90, 83, 90, 85
91, 102, 97, 83, 95, 85
94, 109, 99, 83, 89, 87
85, 99, 89, 81, 89, 85
87, 103, 93, 83, 95, 85
91, 102, 95, 83, 89, 85
93, 109, 96, 81, 88, 85
83, 97, 87, 81, 95, 85
87, 99, 91, 83, 89, 85
93, 106, 97, 83, 89, 87
91, 105, 95, 83, 95, 85
87, 99, 91, 83, 89, 85
85, 99, 89, 83, 90, 85
93, 119, 97, 83, 95, 85
89, 105, 95, 83, 89, 85
87, 99, 89, 83, 89, 85
85, 97, 90, 83, 95, 85
94, 103, 99, 83, 89, 87
91, 138, 94, 83, 89, 85
87, 99, 91, 83, 95, 85
85, 97, 89, 83, 95, 86
93, 109, 97, 83, 89, 85
91, 102, 95, 83, 96, 85
87, 99, 91, 83, 89, 85
83, 97, 87, 83, 89, 85
85, 98, 91, 83, 95, 86
83, 97, 87, 83, 89, 85
93, 107, 97, 81, 89, 85
91, 108, 94, 83, 251, 86
87, 99, 91, 81, 89, 85
85, 97, 88, 83, 90, 85
95, 105, 99, 83, 97, 87
91, 102, 95, 83, 89, 85
85, 99, 89, 83, 89, 85
83, 97, 87, 83, 95, 85
93, 105, 97, 83, 89, 85
89, 101, 93, 83, 89, 85
87, 101, 91, 83, 97, 85
85, 97, 89, 83, 89, 85
93, 108, 97, 83, 97, 87
91, 103, 95, 83, 97, 86
83, 98, 87, 81, 89, 85
85, 99, 89, 83, 90, 85
91, 110, 93, 81, 97, 86
93, 105, 97, 81, 89, 85
85, 98, 89, 83, 89, 85
87, 98, 91, 83, 113, 86
91, 117, 95, 83, 89, 85
93, 107, 97, 83, 90, 87
83, 97, 87, 83, 95, 86
87, 101, 91, 83, 89, 85
89, 104, 93, 83, 89, 85
93, 136, 97, 81, 93, 85
85, 98, 89, 81, 89, 85
87, 257, 91, 83, 89, 85
91, 102, 95, 83, 95, 86
93, 105, 97, 83, 90, 87
93, 112, 97, 81, 96, 85
89, 115, 94, 83, 89, 85
87, 98, 89, 81, 89, 85
83, 95, 87, 83, 89, 85
93, 138, 97, 83, 90, 87
91, 103, 95, 83, 89, 85
87, 101, 91, 83, 96, 87
85, 99, 89, 83, 90, 85
93, 107, 97, 81, 91, 85
89, 103, 93, 83, 89, 85
85, 100, 89, 83, 89, 85
83, 97, 87, 83, 97, 85
93, 106, 97, 83, 90, 87
91, 107, 95, 83, 89, 85
87, 97, 91, 83, 89, 85
85, 98, 89, 83, 89, 85
89, 118, 93, 83, 89, 85
93, 107, 97, 81, 88, 85
83, 97, 87, 81, 89, 85
85, 101, 90, 83, 95, 85
91, 103, 95, 83, 89, 85
93, 107, 97, 83, 89, 87
85, 100, 89, 83, 97, 89
87, 99, 91, 83, 89, 85
91, 101, 93, 81, 89, 85
93, 107, 97, 81, 89, 85
83, 95, 87, 81, 89, 85
86, 107, 89, 83, 89, 85
91, 106, 95, 83, 95, 85
93, 105, 99, 83, 89, 87
85, 103, 91, 81, 89, 85
87, 99, 91, 83, 89, 85
93, 109, 97, 81, 95, 85
89, 102, 93, 83, 89, 85
87, 101, 89, 81, 90, 85
83, 98, 87, 83, 95, 86
93, 105, 97, 83, 89, 87
91, 106, 95, 83, 89, 85
87, 101, 91, 83, 99, 86
85, 99, 89, 83, 89, 85
93, 127, 97, 83, 89, 85
91, 105, 93, 83, 99, 86
85, 100, 89, 81, 90, 85
83, 99, 87, 83, 89, 85
93, 105, 97, 83, 97, 87
91, 105, 95, 83, 89, 85
87, 101, 93, 81, 89, 85
85, 99, 89, 83, 98, 86
90, 102, 93, 83, 89, 85
93, 107, 97, 81, 89, 85
85, 94, 89, 83, 97, 87
85, 98, 89, 83, 89, 85
91, 105, 95, 81, 89, 85
93, 105, 97, 83, 95, 87
85, 97, 89, 81, 89, 85
87, 101, 91, 83, 89, 85
91, 103, 93, 83, 95, 85
93, 112, 99, 83, 97, 87
83, 97, 87, 81, 89, 85
87, 97, 90, 83, 97, 86
91, 103, 95, 83, 89, 85
93, 107, 97, 83, 89, 87
85, 95, 89, 83, 121, 86
87, 101, 91, 83, 89, 85
87, 101, 90, 83, 90, 85
83, 97, 87, 83, 103, 86
93, 107, 97, 81, 89, 85
89, 107, 93, 83, 89, 85
87, 103, 91, 83, 97, 86
85, 95, 89, 83, 89, 85
93, 259, 97, 83, 89, 87
91, 105, 95, 83, 95, 86
85, 99, 89, 81, 89, 85
83, 97, 87, 83, 89, 85
93, 112, 97, 81, 95, 85
89, 105, 93, 83, 89, 85
87, 101, 91, 81, 89, 85
85, 97, 89, 83, 97, 85
93, 105, 97, 83, 89, 87
91, 103, 94, 83, 89, 85
85, 95, 87, 81, 95, 85
85, 97, 89, 83, 96, 87
91, 109, 93, 83, 89, 85
93, 138, 97, 83, 97, 87
85, 99, 89, 83, 89, 85
87, 106, 91, 83, 89, 85
91, 132, 95, 83, 89, 85
93, 104, 97, 83, 89, 87
83, 116, 87, 81, 89, 85
87, 102, 91, 83, 89, 85
91, 105, 93, 81, 89, 85
93, 114, 97, 81, 89, 85
85, 99, 89, 83, 89, 85
89, 101, 93, 83, 89, 85
91, 105, 95, 83, 97, 87
93, 107, 97, 83, 89, 87
91, 107, 95, 81, 89, 85
93, 106, 99, 83, 89, 87
85, 98, 89, 81, 89, 85
