 clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 89, 81, 95, 87, 117, 102
 92, 81, 96, 85, 107, 89
 83, 81, 89, 85, 99, 89
 85, 81, 89, 85, 93, 90
 91, 81, 95, 85, 100, 95
 93, 83, 97, 87, 100, 89
 83, 83, 88, 86, 93, 89
 87, 83, 91, 85, 94, 89
 89, 83, 93, 85, 97, 89
 92, 81, 97, 85, 100, 88
 83, 81, 87, 86, 91, 89
 85, 83, 89, 85, 93, 89
 89, 83, 94, 85, 106, 89
 92, 81, 97, 87, 101, 89
 83, 81, 89, 85, 92, 89
 85, 83, 91, 85, 94, 89
 91, 81, 96, 85, 100, 89
 89, 83, 93, 85, 97, 89
 85, 83, 89, 85, 93, 89
 83, 83, 87, 85, 91, 89
 91, 83, 95, 87, 99, 89
 89, 83, 95, 85, 98, 89
 85, 81, 89, 86, 94, 89
 83, 81, 88, 85, 93, 93
 91, 81, 96, 85, 99, 89
 89, 83, 94, 85, 99, 88
 85, 81, 89, 85, 93, 88
 83, 81, 88, 86, 97, 89
 91, 83, 97, 86, 100, 89
 89, 83, 94, 85, 105, 89
 85, 83, 89, 86, 94, 90
 83, 81, 89, 86, 92, 89
 83, 83, 87, 86, 92, 89
 85, 83, 89, 86, 93, 89
 89, 81, 93, 85, 97, 89
 93, 81, 97, 85, 105, 89
 83, 83, 89, 85, 93, 89
 85, 81, 91, 85, 95, 91
 91, 81, 95, 85, 98, 89
 93, 83, 97, 87, 100, 89
 83, 83, 87, 85, 93, 89
 85, 83, 90, 85, 95, 97
 89, 83, 93, 87, 97, 89
 93, 81, 97, 85, 101, 88
 83, 83, 89, 85, 93, 91
 85, 81, 91, 85, 94, 89
 89, 81, 95, 85, 103, 89
 93, 81, 97, 87, 100, 89
 85, 81, 89, 85, 93, 89
 83, 81, 87, 85, 91, 89
 93, 81, 97, 85, 100, 89
 89, 83, 94, 86, 99, 89
 87, 81, 91, 85, 94, 89
 83, 83, 89, 86, 93, 89
 91, 83, 97, 86, 101, 89
 89, 83, 93, 86, 97, 89
 85, 81, 89, 85, 93, 89
 83, 83, 87, 85, 91, 89
 92, 81, 97, 85, 101, 88
 89, 83, 95, 86, 98, 88
 85, 83, 90, 85, 93, 89
 85, 83, 89, 85, 93, 89
 93, 83, 97, 87, 101, 89
 89, 83, 95, 85, 99, 89
 91, 83, 95, 86, 100, 89
 89, 83, 94, 85, 98, 89
 87, 81, 91, 85, 95, 89
 85, 81, 89, 87, 92, 89
 91, 81, 96, 85, 99, 89
 89, 81, 93, 85, 103, 89
 85, 83, 89, 85, 95, 89
 83, 83, 88, 86, 99, 95
 93, 83, 97, 85, 100, 89
 89, 83, 95, 85, 120, 88
 85, 83, 90, 86, 94, 89
 83, 83, 89, 85, 93, 95
 91, 81, 97, 85, 100, 89
 89, 81, 93, 85, 97, 89
 85, 81, 89, 85, 93, 88
 83, 83, 87, 85, 91, 89
 89, 83, 94, 85, 99, 89
 93, 83, 97, 87, 100, 89
 83, 83, 89, 86, 93, 90
 85, 83, 89, 85, 93, 89
 89, 81, 93, 85, 97, 89
 93, 81, 97, 85, 100, 89
 81, 81, 87, 85, 91, 88
 85, 81, 89, 85, 94, 89
 91, 81, 95, 86, 99, 89
 93, 83, 97, 87, 100, 89
 85, 81, 89, 85, 93, 89
 87, 81, 91, 85, 94, 89
 89, 83, 93, 86, 102, 89
 93, 81, 97, 85, 99, 88
 83, 81, 87, 86, 91, 89
 85, 89, 95, 93, 106, 113
 85, 83, 91, 87, 101, 96
 85, 83, 89, 85, 99, 89
 91, 83, 97, 86, 107, 89
 89, 81, 95, 86, 98, 97
 85, 83, 89, 85, 93, 90
 83, 83, 89, 85, 99, 89
 91, 81, 97, 85, 108, 88
 89, 83, 93, 85, 97, 95
 85, 83, 91, 85, 94, 89
 85, 83, 89, 85, 97, 89
 92, 83, 97, 87, 101, 97
 91, 81, 95, 85, 98, 89
 85, 83, 89, 85, 99, 89
 83, 83, 87, 85, 97, 89
 91, 81, 96, 85, 99, 88
 89, 83, 93, 85, 98, 89
 83, 83, 88, 85, 93, 89
 85, 81, 90, 85, 94, 89
 89, 81, 95, 85, 103, 89
 91, 83, 96, 87, 107, 90
 83, 81, 88, 85, 92, 89
 85, 83, 89, 87, 93, 96
 89, 81, 93, 91, 97, 99
 93, 81, 97, 85, 107, 89
 83, 81, 89, 85, 98, 89
 85, 81, 89, 85, 93, 95
 91, 81, 95, 85, 99, 89
 93, 83, 97, 87, 107, 89
 83, 81, 87, 85, 91, 89
 85, 83, 89, 85, 93, 89
 89, 81, 93, 85, 97, 88
 93, 81, 97, 85, 99, 89
 85, 83, 89, 85, 93, 89
 85, 83, 91, 85, 95, 88
 89, 81, 94, 85, 98, 89
 93, 83, 97, 86, 100, 89
 83, 81, 87, 85, 91, 88
 85, 83, 89, 86, 93, 89
 89, 83, 93, 85, 98, 90
 91, 81, 95, 85, 100, 89
 83, 81, 89, 85, 92, 97
 87, 81, 91, 85, 123, 89
 89, 83, 95, 85, 99, 91
 91, 81, 97, 87, 105, 89
 83, 81, 87, 86, 93, 89
 85, 83, 90, 86, 101, 96
 89, 81, 93, 85, 97, 89
 92, 81, 97, 85, 107, 88
 85, 83, 90, 85, 101, 89
 83, 81, 89, 87, 92, 97
 91, 81, 97, 87, 101, 89
 89, 83, 95, 85, 105, 89
 83, 83, 89, 86, 99, 95
 83, 83, 87, 85, 91, 90
 91, 81, 96, 85, 99, 89
 89, 83, 93, 86, 98, 89
 85, 83, 91, 86, 94, 89
 83, 83, 88, 85, 91, 88
 91, 83, 97, 87, 100, 90
 89, 83, 94, 86, 98, 89
 85, 81, 89, 86, 93, 89
 83, 83, 88, 86, 97, 89
 91, 81, 97, 85, 100, 89
 89, 81, 94, 86, 105, 89
 89, 81, 94, 87, 98, 101
 92, 83, 97, 87, 105, 90
 83, 83, 87, 86, 92, 96
 85, 83, 91, 85, 101, 89
 89, 81, 93, 85, 105, 89
 93, 83, 97, 85, 108, 89
 83, 81, 88, 85, 91, 89
 85, 81, 89, 85, 92, 89
 91, 81, 95, 85, 99, 89
 91, 83, 95, 87, 100, 89
 83, 83, 87, 85, 91, 89
 87, 83, 91, 85, 95, 88
 89, 83, 94, 85, 98, 89
 91, 81, 97, 85, 101, 89
 83, 81, 87, 85, 91, 89
 85, 83, 89, 85, 93, 89
 91, 83, 97, 86, 101, 89
 89, 83, 93, 85, 98, 89
 85, 81, 91, 85, 95, 89
 83, 83, 87, 85, 92, 89
 92, 83, 97, 85, 100, 89
 89, 81, 94, 85, 98, 97
 85, 81, 89, 85, 93, 89
 83, 83, 87, 85, 91, 89
 91, 81, 97, 85, 100, 89
 89, 81, 94, 85, 98, 89
 85, 83, 90, 86, 93, 89
 85, 83, 89, 85, 92, 88
 93, 81, 97, 85, 100, 89
 89, 81, 93, 85, 98, 89
 85, 83, 89, 86, 93, 89
 83, 83, 87, 85, 99, 89
 85, 83, 89, 85, 93, 88
 83, 83, 87, 85, 91, 89
 91, 81, 97, 85, 100, 89
 89, 83, 93, 85, 97, 89
 85, 83, 91, 86, 94, 89
 83, 83, 89, 85, 92, 89
 91, 81, 96, 87, 101, 90
 89, 83, 94, 85, 99, 89
 85, 81, 89, 85, 93, 89
 83, 83, 87, 87, 91, 89
 93, 81, 97, 85, 100, 89
 89, 83, 93, 85, 97, 89
 85, 83, 91, 85, 95, 99
 85, 83, 89, 86, 92, 89
 91, 83, 97, 87, 101, 89
 91, 81, 94, 85, 98, 90
 83, 83, 87, 86, 92, 89
 85, 81, 89, 85, 93, 89
 89, 83, 93, 85, 97, 89
 93, 83, 97, 85, 99, 89
 83, 83, 89, 86, 99, 88
 86, 81, 91, 85, 95, 97
 89, 83, 95, 86, 98, 89
 93, 83, 97, 87, 107, 90
 83, 83, 87, 85, 103, 89
 85, 83, 89, 85, 93, 97
 89, 81, 93, 85, 97, 89
 91, 81, 97, 85, 107, 89
 83, 83, 89, 86, 93, 95
 85, 83, 91, 87, 94, 89
 91, 81, 95, 85, 107, 89
 93, 83, 96, 86, 100, 89
 91, 81, 95, 85, 99, 89
 89, 83, 93, 87, 98, 89
 85, 81, 89, 85, 93, 89
 83, 81, 87, 85, 97, 89
 91, 83, 96, 86, 100, 89
 89, 83, 95, 85, 98, 89
 85, 81, 91, 85, 94, 89
 85, 81, 89, 85, 91, 89
 91, 81, 97, 85, 100, 89
 89, 81, 95, 87, 105, 89
 85, 81, 89, 86, 93, 95
 83, 83, 87, 93, 99, 271
 91, 83, 97, 87, 100, 97
 89, 83, 95, 85, 105, 89
 87, 81, 91, 85, 101, 89
 83, 83, 87, 86, 91, 95
 89, 83, 93, 85, 97, 90
 93, 83, 97, 85, 113, 89
 83, 81, 88, 85, 97, 89
 85, 83, 90, 87, 94, 96
 91, 81, 95, 85, 98, 89
 93, 83, 97, 86, 107, 89
 83, 83, 87, 86, 91, 95
 85, 81, 90, 85, 94, 89
 89, 81, 94, 85, 104, 89
 92, 81, 97, 85, 100, 89
 83, 81, 87, 85, 91, 89
 85, 83, 89, 86, 93, 88
 89, 83, 95, 85, 99, 89
 93, 81, 101, 85, 112, 95
 83, 81, 89, 86, 93, 89
 85, 83, 91, 85, 95, 89
 91, 81, 97, 85, 107, 90
 89, 83, 95, 86, 99, 96
 85, 83, 89, 88, 93, 97
 83, 81, 88, 85, 97, 89
 91, 81, 95, 86, 100, 89
 90, 81, 95, 85, 98, 89
 85, 83, 90, 85, 93, 89
 85, 81, 89, 85, 92, 89
 91, 81, 97, 85, 100, 89
 89, 83, 93, 85, 97, 89
 85, 83, 89, 85, 93, 88
 83, 83, 87, 85, 91, 89
 91, 83, 97, 85, 100, 89
 89, 83, 93, 85, 99, 89
 85, 81, 91, 85, 94, 89
 85, 81, 89, 85, 99, 93
 89, 81, 93, 85, 97, 90
 92, 81, 97, 85, 284, 89
 83, 83, 87, 85, 91, 89
 85, 81, 89, 85, 93, 90
 91, 81, 95, 85, 105, 89
 93, 83, 97, 87, 100, 89
 85, 81, 89, 85, 93, 97
 85, 83, 91, 85, 101, 89
 89, 81, 93, 85, 99, 88
 94, 81, 97, 90, 100, 97
 83, 83, 87, 85, 91, 89
 85, 81, 89, 85, 101, 89
 91, 81, 95, 85, 106, 89
 92, 83, 95, 87, 100, 95
 83, 81, 89, 85, 93, 89
 87, 81, 91, 85, 94, 89
 85, 81, 89, 85, 93, 89
 83, 81, 87, 85, 91, 89
 93, 81, 97, 85, 100, 89
 89, 81, 93, 85, 98, 89
 85, 81, 91, 85, 93, 89
 85, 81, 89, 85, 92, 88
 91, 83, 97, 86, 105, 90
 91, 83, 94, 85, 98, 89
 85, 81, 89, 87, 93, 89
 83, 83, 87, 86, 91, 89
 93, 81, 97, 85, 100, 88
 89, 83, 95, 85, 98, 89
 87, 83, 91, 86, 101, 89
 85, 81, 89, 85, 93, 89
 91, 83, 95, 87, 100, 89
 89, 81, 94, 85, 98, 89
 83, 83, 87, 87, 92, 89
 85, 81, 89, 85, 92, 89
 89, 83, 93, 85, 97, 89
 93, 81, 97, 85, 100, 89
 83, 83, 89, 85, 93, 89
 85, 83, 90, 86, 94, 89
 89, 83, 93, 85, 98, 89
 92, 83, 97, 87, 101, 90
 83, 83, 87, 86, 91, 89
 85, 83, 89, 86, 93, 89
 89, 83, 93, 85, 97, 89
 93, 81, 97, 85, 100, 89
 83, 81, 87, 85, 91, 88
 85, 83, 91, 85, 94, 89
 89, 83, 95, 85, 99, 89
 92, 81, 97, 86, 101, 89
 89, 83, 95, 85, 98, 89
 93, 83, 97, 87, 100, 89
 83, 83, 87, 85, 92, 89
 86, 81, 91, 86, 95, 89
 89, 81, 93, 85, 97, 89
 93, 81, 97, 85, 100, 89
 83, 83, 87, 85, 91, 89
 85, 83, 89, 85, 93, 89
 89, 81, 94, 85, 98, 89
 91, 83, 96, 87, 100, 90
 83, 83, 89, 87, 93, 89
 87, 81, 91, 85, 95, 88
 89, 81, 93, 85, 97, 89
 93, 81, 97, 85, 100, 89
 83, 83, 87, 85, 91, 89
 85, 81, 89, 85, 93, 90
 93, 81, 97, 86, 107, 89
 89, 81, 95, 87, 174, 160
 87, 81, 97, 85, 280, 160
 83, 83, 89, 85, 164, 162
 92, 83, 103, 91, 186, 99
 89, 83, 93, 87, 105, 95
 85, 81, 89, 85, 100, 89
 83, 83, 89, 86, 99, 89
 92, 83, 97, 87, 100, 97
 89, 83, 94, 85, 99, 95
 85, 81, 94, 87, 178, 255
 85, 83, 95, 91, 101, 253
 93, 89, 104, 92, 109, 97
 91, 85, 102, 257, 482, 494
 85, 81, 97, 179, 379, 472
 83, 81, 89, 196, 450, 498
 83, 83, 89, 209, 464, 492
 85, 83, 91, 240, 397, 498
 89, 85, 100, 264, 411, 496
 92, 81, 97, 87, 482, 495
 83, 83, 87, 86, 175, 97
 87, 83, 89, 85, 93, 89
 89, 83, 93, 86, 105, 89
 91, 81, 95, 85, 107, 89
 83, 81, 89, 85, 93, 95
 85, 83, 90, 85, 94, 89
 89, 83, 95, 85, 106, 89
 93, 81, 97, 87, 100, 97
 83, 83, 89, 87, 105, 103
 85, 83, 89, 87, 93, 104
 89, 83, 94, 86, 111, 89
 91, 81, 98, 85, 109, 89
 85, 83, 91, 87, 93, 97
 85, 83, 89, 85, 93, 89
 91, 81, 96, 86, 107, 89
 89, 83, 95, 87, 113, 103
 85, 83, 89, 85, 93, 253
 83, 83, 87, 86, 91, 89
 91, 81, 97, 85, 107, 89
 89, 83, 93, 85, 104, 89
 87, 81, 91, 86, 95, 95
 85, 83, 89, 85, 93, 89
 91, 83, 97, 86, 107, 89
 89, 81, 94, 85, 105, 94
 85, 83, 89, 86, 93, 95
 83, 83, 87, 86, 91, 89
 91, 81, 97, 85, 107, 89
 89, 83, 93, 85, 97, 96
 85, 81, 89, 85, 93, 89
 85, 81, 89, 86, 99, 90
 91, 83, 97, 87, 107, 89
 90, 81, 95, 87, 107, 95
 85, 81, 89, 86, 93, 95
 83, 83, 89, 85, 107, 88
 91, 81, 97, 85, 107, 89
 89, 81, 93, 87, 97, 97
 85, 83, 91, 85, 94, 89
 85, 83, 89, 85, 99, 89
 91, 81, 97, 85, 100, 99
 89, 83, 93, 85, 97, 89
 85, 81, 89, 85, 99, 89
 83, 83, 87, 85, 97, 88
 91, 81, 95, 85, 100, 95
 89, 83, 93, 85, 98, 90
 83, 83, 87, 85, 93, 89
 87, 83, 91, 85, 95, 89
 89, 83, 93, 86, 98, 89
 93, 83, 97, 87, 101, 89
 83, 83, 87, 85, 97, 89
