 clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 87, 79, 93, 85, 107, 95
 89, 81, 95, 85, 106, 88
 85, 83, 89, 87, 93, 90
 83, 81, 87, 85, 91, 88
 87, 81, 93, 85, 96, 89
 89, 81, 94, 85, 99, 89
 87, 83, 91, 87, 95, 91
 85, 81, 89, 85, 93, 89
 87, 79, 93, 83, 96, 87
 89, 81, 94, 85, 105, 89
 85, 83, 90, 87, 93, 90
 83, 81, 87, 85, 91, 88
 87, 81, 92, 85, 96, 89
 91, 81, 95, 85, 99, 89
 87, 83, 91, 89, 101, 101
 85, 81, 89, 85, 99, 95
 89, 81, 94, 85, 98, 88
 87, 81, 92, 85, 102, 87
 83, 79, 87, 85, 91, 95
 85, 83, 89, 87, 93, 90
 91, 81, 95, 85, 103, 88
 87, 81, 92, 85, 103, 89
 85, 81, 89, 85, 93, 95
 87, 83, 91, 87, 95, 91
 89, 81, 94, 85, 105, 89
 87, 81, 92, 85, 102, 87
 83, 81, 87, 90, 98, 95
 85, 83, 90, 87, 93, 90
 91, 81, 95, 85, 106, 89
 87, 81, 93, 85, 103, 95
 83, 81, 89, 85, 92, 89
 87, 85, 91, 87, 101, 91
 85, 83, 89, 87, 100, 90
 83, 81, 87, 85, 91, 95
 87, 81, 93, 84, 96, 87
 89, 81, 95, 85, 98, 88
 85, 83, 91, 87, 103, 91
 83, 81, 87, 85, 91, 95
 87, 81, 92, 85, 96, 89
 91, 81, 95, 85, 99, 88
 85, 83, 90, 87, 102, 97
 83, 81, 87, 85, 91, 89
 87, 81, 93, 85, 96, 88
 89, 81, 93, 85, 105, 87
 87, 83, 91, 87, 94, 97
 85, 81, 89, 85, 92, 89
 87, 81, 93, 85, 103, 89
 90, 81, 95, 85, 105, 93
 83, 81, 87, 85, 91, 95
 85, 83, 89, 87, 93, 90
 89, 79, 94, 85, 103, 95
 87, 81, 93, 85, 103, 87
 83, 81, 87, 85, 91, 97
 85, 83, 91, 87, 101, 91
 91, 81, 95, 85, 115, 88
 87, 81, 93, 85, 103, 89
 83, 81, 87, 85, 92, 95
 85, 83, 90, 87, 93, 90
 89, 81, 95, 85, 104, 88
 87, 81, 93, 85, 97, 87
 83, 81, 89, 85, 93, 88
 87, 83, 91, 88, 102, 91
 91, 81, 95, 85, 107, 88
 87, 81, 91, 85, 95, 89
 91, 79, 95, 85, 99, 88
 87, 81, 93, 85, 101, 89
 85, 81, 89, 85, 93, 95
 87, 83, 91, 87, 95, 91
 89, 81, 94, 85, 105, 97
 88, 81, 92, 85, 103, 87
 83, 79, 87, 85, 93, 88
 85, 83, 90, 87, 93, 103
 89, 81, 95, 85, 99, 88
 87, 81, 91, 85, 96, 88
 85, 81, 89, 85, 93, 89
 87, 83, 91, 87, 93, 91
 89, 81, 95, 85, 98, 88
 88, 81, 93, 85, 97, 88
 83, 79, 87, 85, 91, 88
 85, 83, 89, 87, 93, 91
 87, 81, 93, 85, 102, 89
 91, 81, 95, 85, 100, 88
 87, 83, 91, 87, 95, 91
 85, 81, 89, 85, 97, 88
 87, 81, 91, 85, 95, 94
 89, 81, 95, 85, 99, 89
 86, 83, 91, 87, 101, 91
 83, 81, 88, 85, 99, 87
 87, 81, 93, 85, 102, 95
 91, 81, 95, 85, 107, 88
 87, 83, 97, 87, 103, 91
 85, 81, 89, 85, 99, 89
 87, 79, 93, 85, 96, 95
 89, 81, 93, 85, 97, 89
 85, 81, 90, 87, 99, 89
 83, 81, 87, 87, 91, 101
 85, 81, 94, 91, 115, 120
 87, 83, 98, 93, 120, 120
 95, 81, 103, 91, 114, 96
 87, 81, 91, 85, 96, 89
 83, 81, 87, 85, 97, 88
 85, 81, 90, 87, 101, 90
 89, 79, 94, 85, 99, 97
 87, 81, 92, 85, 95, 88
 83, 81, 87, 85, 99, 89
 87, 85, 91, 87, 101, 91
 91, 79, 95, 85, 99, 95
 87, 81, 91, 85, 96, 89
 83, 81, 88, 85, 97, 89
 85, 83, 89, 87, 99, 97
 89, 81, 93, 85, 98, 89
 87, 81, 93, 85, 102, 87
 85, 83, 91, 87, 101, 91
 85, 81, 89, 85, 92, 252
 87, 81, 93, 85, 96, 89
 91, 81, 95, 85, 104, 88
 85, 83, 90, 87, 101, 90
 83, 81, 87, 85, 91, 95
 87, 79, 91, 85, 96, 87
 89, 81, 95, 85, 105, 89
 87, 83, 91, 88, 101, 91
 85, 81, 89, 85, 91, 95
 87, 81, 92, 85, 96, 89
 91, 81, 95, 85, 107, 88
 85, 81, 89, 87, 93, 97
 83, 81, 87, 85, 91, 89
 87, 81, 93, 85, 103, 88
 89, 81, 94, 85, 104, 89
 85, 83, 90, 89, 94, 118
 85, 81, 89, 85, 99, 88
 87, 81, 91, 85, 103, 89
 91, 81, 95, 85, 107, 88
 85, 83, 89, 87, 94, 97
 83, 81, 87, 85, 91, 88
 87, 81, 93, 85, 103, 97
 89, 81, 95, 85, 114, 87
 87, 83, 91, 93, 95, 99
 83, 81, 89, 85, 92, 88
 87, 81, 93, 85, 103, 89
 91, 81, 95, 85, 99, 95
 85, 83, 89, 87, 93, 90
 83, 81, 87, 85, 91, 89
 87, 81, 91, 85, 103, 88
 89, 81, 94, 85, 97, 95
 83, 81, 87, 85, 92, 89
 87, 85, 91, 88, 101, 91
 91, 81, 94, 85, 98, 88
 87, 81, 92, 85, 95, 89
 83, 81, 87, 85, 91, 89
 85, 83, 89, 87, 93, 91
 89, 81, 95, 85, 105, 95
 87, 81, 92, 85, 103, 87
 85, 81, 89, 85, 93, 89
 87, 83, 92, 87, 102, 91
 91, 79, 95, 85, 99, 95
 87, 81, 92, 85, 96, 89
 83, 81, 87, 85, 97, 89
 85, 83, 89, 87, 101, 90
 89, 81, 94, 85, 97, 95
 87, 81, 92, 85, 95, 87
 87, 81, 91, 85, 96, 88
 91, 81, 95, 85, 99, 95
 87, 85, 91, 88, 95, 91
 85, 81, 89, 85, 101, 89
 87, 81, 91, 85, 100, 88
 89, 81, 95, 85, 98, 88
 85, 81, 91, 87, 94, 101
 83, 81, 89, 85, 99, 89
 87, 81, 93, 85, 97, 95
 91, 81, 95, 85, 99, 88
 87, 83, 91, 87, 94, 91
 85, 81, 89, 85, 99, 88
 87, 81, 91, 85, 96, 94
 89, 81, 95, 85, 98, 89
 85, 81, 90, 87, 101, 91
 83, 81, 87, 85, 99, 88
 91, 79, 95, 85, 99, 89
 87, 81, 91, 85, 96, 89
 83, 81, 88, 85, 92, 88
 87, 85, 91, 87, 95, 91
 89, 81, 95, 85, 98, 89
 87, 81, 93, 85, 97, 87
 83, 81, 88, 85, 91, 88
 85, 83, 89, 87, 93, 90
 91, 81, 95, 85, 100, 88
 87, 81, 93, 85, 97, 88
 83, 79, 87, 85, 92, 88
 85, 83, 91, 87, 95, 91
 89, 81, 95, 85, 98, 88
 87, 79, 93, 83, 97, 87
 83, 81, 88, 85, 91, 88
 85, 83, 89, 87, 93, 90
 83, 81, 88, 85, 91, 89
 87, 83, 90, 87, 94, 90
 89, 81, 95, 85, 105, 89
 87, 81, 91, 85, 95, 88
 83, 81, 89, 85, 92, 89
 87, 85, 91, 87, 94, 91
 89, 81, 95, 85, 99, 88
 87, 81, 93, 85, 95, 89
 83, 81, 87, 85, 91, 88
 85, 81, 90, 87, 93, 90
 89, 81, 94, 85, 97, 89
 87, 81, 92, 85, 95, 87
 83, 81, 89, 85, 93, 89
 87, 83, 91, 87, 95, 91
 91, 79, 95, 86, 99, 97
 87, 81, 92, 85, 95, 89
 85, 81, 89, 86, 103, 90
 83, 81, 87, 85, 97, 89
 87, 79, 93, 83, 96, 87
 89, 81, 94, 85, 105, 89
