 clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 95, 85, 99, 89, 105, 93
 85, 81, 91, 85, 105, 87
 95, 83, 99, 86, 110, 90
 97, 87, 101, 91, 107, 94
 93, 89, 97, 91, 103, 102
 83, 81, 89, 83, 95, 87
 93, 81, 97, 85, 108, 89
 95, 85, 101, 89, 110, 99
 93, 87, 98, 91, 105, 95
 85, 81, 89, 85, 97, 87
 93, 83, 99, 85, 109, 89
 97, 85, 101, 91, 108, 129
 93, 87, 99, 92, 103, 95
 85, 79, 89, 83, 95, 87
 93, 81, 97, 85, 105, 88
 95, 85, 100, 89, 107, 100
 93, 89, 98, 93, 107, 95
 95, 85, 101, 89, 115, 92
 93, 89, 98, 92, 109, 95
 85, 79, 89, 83, 99, 93
 93, 81, 97, 85, 103, 88
 95, 87, 101, 90, 112, 93
 93, 89, 97, 92, 108, 95
 85, 81, 90, 85, 97, 89
 95, 83, 99, 86, 106, 89
 95, 85, 100, 89, 107, 92
 93, 89, 97, 93, 109, 101
 85, 79, 89, 83, 97, 87
 93, 81, 97, 85, 105, 89
 97, 85, 101, 90, 109, 93
 93, 89, 97, 92, 107, 99
 85, 81, 89, 85, 101, 87
 93, 83, 98, 86, 107, 89
 93, 89, 97, 91, 109, 95
 95, 85, 101, 89, 106, 92
 93, 81, 97, 85, 104, 88
 83, 79, 89, 83, 99, 87
 93, 87, 98, 91, 138, 95
 95, 85, 101, 90, 105, 99
 95, 81, 99, 86, 105, 89
 85, 81, 91, 85, 95, 87
 93, 89, 97, 91, 107, 96
 93, 85, 99, 89, 109, 92
 93, 81, 97, 85, 107, 89
 85, 79, 89, 83, 95, 86
 93, 87, 99, 91, 106, 97
 95, 87, 101, 90, 107, 93
 94, 83, 99, 86, 107, 90
 85, 81, 90, 84, 97, 91
 85, 79, 89, 83, 101, 87
 93, 81, 97, 85, 107, 89
 95, 85, 99, 89, 107, 93
 93, 89, 97, 92, 104, 96
 85, 81, 90, 85, 99, 87
 94, 83, 99, 86, 107, 89
 97, 85, 101, 90, 107, 93
 93, 89, 97, 93, 109, 95
 85, 79, 89, 83, 97, 87
 93, 81, 97, 85, 111, 89
 95, 85, 100, 89, 107, 93
 93, 87, 98, 91, 104, 95
 85, 81, 90, 85, 97, 88
 95, 83, 99, 85, 103, 91
 95, 87, 101, 90, 109, 93
 93, 87, 97, 92, 106, 96
 93, 81, 97, 85, 105, 88
 83, 79, 88, 83, 97, 87
 93, 89, 98, 91, 103, 95
 95, 85, 101, 89, 113, 91
 95, 81, 99, 85, 111, 89
 85, 81, 90, 85, 99, 93
 93, 89, 97, 91, 108, 95
 95, 87, 101, 90, 112, 94
 93, 81, 97, 85, 103, 89
 85, 79, 89, 83, 101, 87
 93, 87, 99, 91, 107, 95
 95, 85, 100, 89, 111, 92
 95, 81, 99, 86, 108, 89
 85, 79, 90, 84, 97, 87
 93, 89, 98, 91, 126, 95
 95, 87, 100, 90, 106, 93
 83, 79, 89, 83, 95, 87
 93, 81, 97, 85, 105, 89
 95, 85, 100, 89, 107, 93
 93, 89, 97, 92, 105, 96
 85, 79, 91, 83, 97, 87
 95, 83, 99, 85, 106, 89
 97, 87, 101, 91, 113, 93
 93, 89, 99, 92, 105, 95
 85, 79, 89, 83, 95, 87
 93, 81, 97, 85, 103, 89
 95, 85, 99, 89, 106, 94
 93, 87, 98, 92, 105, 95
 85, 79, 90, 85, 95, 99
 95, 83, 99, 87, 107, 89
 97, 85, 101, 90, 107, 93
 93, 89, 98, 92, 108, 95
 93, 81, 98, 85, 106, 88
 85, 79, 89, 83, 95, 87
 93, 89, 97, 91, 105, 95
 95, 85, 99, 89, 105, 93
 93, 81, 99, 86, 112, 89
 85, 79, 91, 84, 97, 87
 93, 89, 98, 91, 105, 96
 96, 87, 101, 90, 108, 93
