 clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 83, 79, 95, 83, 102, 87
 85, 79, 91, 83, 102, 93
 89, 85, 93, 89, 97, 92
 93, 83, 97, 87, 100, 91
 85, 79, 89, 83, 93, 87
 87, 79, 91, 83, 95, 86
 91, 85, 95, 89, 99, 93
 93, 81, 97, 87, 101, 90
 83, 79, 87, 83, 91, 86
 85, 79, 90, 83, 93, 87
 89, 83, 93, 89, 98, 92
 93, 85, 97, 87, 101, 91
 85, 81, 89, 84, 92, 87
 87, 79, 91, 83, 95, 86
 91, 85, 94, 89, 98, 93
 92, 83, 97, 87, 100, 97
 85, 79, 89, 83, 91, 86
 85, 79, 87, 83, 91, 87
 92, 83, 97, 87, 101, 91
 91, 85, 95, 89, 98, 91
 87, 79, 91, 83, 101, 86
 85, 81, 88, 83, 93, 87
 92, 83, 97, 87, 101, 91
 91, 85, 95, 89, 99, 93
 85, 79, 90, 83, 93, 86
 83, 79, 87, 83, 91, 87
 91, 83, 97, 87, 101, 91
 89, 85, 93, 89, 97, 91
 87, 79, 90, 83, 94, 86
 85, 81, 89, 83, 92, 87
 91, 83, 97, 87, 109, 91
 91, 87, 95, 89, 98, 93
 89, 83, 93, 89, 97, 91
 93, 83, 96, 87, 100, 91
 83, 79, 88, 83, 97, 86
 85, 79, 91, 83, 94, 87
 91, 87, 95, 89, 107, 99
 92, 83, 96, 87, 100, 91
 85, 79, 89, 83, 101, 87
 87, 79, 91, 83, 95, 93
 89, 85, 95, 89, 98, 91
 93, 83, 97, 87, 108, 91
 83, 79, 87, 83, 99, 86
 85, 79, 89, 83, 93, 86
 91, 87, 94, 89, 98, 93
 93, 83, 97, 87, 100, 90
 85, 79, 89, 83, 92, 87
 87, 79, 90, 83, 95, 86
 92, 83, 97, 87, 107, 91
 89, 85, 94, 89, 98, 92
 85, 79, 89, 83, 94, 86
 83, 79, 87, 83, 91, 87
 93, 83, 97, 87, 101, 91
 91, 85, 95, 89, 99, 93
 87, 79, 91, 83, 95, 86
 85, 79, 89, 83, 93, 87
 93, 83, 97, 87, 101, 90
 89, 85, 93, 89, 97, 91
 85, 79, 90, 83, 100, 87
 83, 79, 87, 83, 99, 85
 93, 83, 97, 93, 101, 174
 91, 87, 95, 89, 105, 93
