 clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 85, 81, 94, 85, 102, 87
 87, 79, 91, 85, 97, 95
 91, 87, 95, 90, 99, 93
 93, 85, 99, 89, 109, 91
 85, 81, 95, 85, 102, 89
 87, 81, 93, 85, 96, 95
 93, 87, 97, 91, 100, 95
 93, 85, 99, 89, 109, 91
 85, 81, 89, 84, 99, 87
 85, 81, 91, 85, 96, 94
 91, 87, 95, 90, 99, 93
 93, 83, 97, 89, 102, 92
 86, 81, 91, 85, 94, 95
 87, 81, 93, 85, 96, 87
 93, 87, 96, 91, 101, 95
 93, 85, 99, 89, 109, 92
 87, 79, 91, 85, 95, 87
 85, 81, 89, 85, 93, 87
 93, 85, 98, 89, 102, 91
 91, 87, 95, 89, 99, 93
 89, 81, 93, 85, 113, 95
 85, 81, 89, 85, 93, 89
 93, 85, 99, 89, 111, 91
 91, 87, 97, 91, 107, 95
 87, 81, 91, 85, 95, 107
 85, 81, 89, 85, 93, 95
 94, 85, 99, 89, 111, 91
 91, 87, 96, 90, 106, 93
 89, 79, 93, 85, 95, 93
 85, 81, 91, 85, 94, 95
 93, 85, 99, 89, 102, 91
 91, 87, 97, 91, 100, 95
 91, 85, 95, 89, 99, 93
 95, 83, 99, 89, 102, 91
 85, 81, 89, 85, 93, 87
 87, 79, 91, 85, 95, 95
 93, 87, 97, 91, 100, 94
 94, 85, 99, 89, 109, 92
 85, 81, 91, 85, 94, 89
 87, 81, 93, 85, 95, 87
 91, 87, 95, 90, 99, 93
 93, 83, 99, 89, 109, 91
 85, 79, 89, 85, 93, 95
 87, 79, 91, 85, 95, 88
 92, 87, 97, 91, 100, 95
 93, 85, 97, 89, 102, 92
 85, 81, 91, 85, 93, 89
 87, 79, 93, 85, 103, 88
 93, 85, 99, 89, 110, 91
 91, 87, 96, 90, 99, 93
 87, 81, 92, 85, 95, 87
 85, 79, 89, 85, 93, 88
 93, 85, 99, 89, 103, 99
 91, 87, 95, 91, 100, 95
 87, 81, 92, 85, 96, 87
 85, 81, 90, 85, 94, 89
 93, 85, 98, 89, 102, 99
 91, 87, 95, 90, 99, 94
 87, 81, 91, 85, 101, 88
 85, 81, 89, 85, 93, 94
 93, 85, 99, 89, 102, 91
 92, 87, 97, 91, 100, 95
 88, 81, 93, 85, 96, 87
 85, 81, 91, 85, 94, 95
 87, 79, 93, 85, 95, 87
 85, 81, 91, 85, 101, 89
 93, 85, 99, 89, 102, 92
 91, 87, 95, 91, 100, 95
 87, 81, 91, 85, 95, 87
 85, 81, 90, 85, 103, 93
 94, 85, 99, 89, 111, 99
 91, 87, 95, 90, 99, 94
 87, 79, 93, 84, 103, 87
 85, 81, 91, 85, 101, 88
 93, 85, 97, 89, 102, 99
 91, 87, 95, 91, 99, 95
 87, 79, 91, 83, 94, 87
 83, 79, 89, 85, 93, 87
 93, 85, 97, 89, 102, 91
 91, 87, 95, 91, 103, 93
 87, 83, 91, 85, 101, 89
 88, 81, 93, 85, 96, 96
 91, 87, 95, 91, 100, 95
 93, 85, 99, 89, 109, 92
 85, 81, 89, 85, 99, 87
 87, 79, 91, 85, 95, 87
 91, 87, 96, 90, 106, 93
 95, 85, 99, 89, 102, 91
 85, 81, 89, 85, 93, 88
