 clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 91, 83, 97, 87, 111, 91
 93, 81, 99, 87, 110, 90
 85, 83, 89, 87, 92, 99
 86, 83, 90, 87, 95, 91
 91, 83, 96, 87, 107, 91
 93, 83, 98, 87, 109, 91
 85, 83, 89, 87, 93, 97
 87, 83, 91, 87, 95, 90
 91, 83, 95, 87, 106, 91
 93, 83, 97, 87, 110, 91
 83, 83, 87, 87, 91, 97
 87, 83, 91, 87, 95, 91
 91, 83, 95, 87, 109, 91
 93, 83, 97, 87, 102, 91
 85, 83, 90, 87, 93, 91
 87, 83, 92, 87, 96, 91
 93, 83, 98, 87, 101, 90
 91, 83, 95, 87, 100, 91
 87, 83, 91, 87, 94, 91
 83, 83, 89, 87, 99, 91
 93, 83, 98, 87, 101, 91
 91, 83, 95, 87, 100, 91
 87, 83, 92, 87, 96, 91
 85, 83, 89, 87, 93, 91
 93, 83, 98, 87, 101, 90
 91, 83, 95, 87, 99, 91
 86, 83, 91, 87, 94, 91
 83, 83, 88, 87, 93, 91
 93, 83, 98, 87, 102, 91
 91, 83, 99, 89, 280, 109
 89, 83, 93, 87, 103, 91
 85, 83, 91, 87, 99, 97
 83, 83, 88, 87, 92, 97
 85, 83, 91, 87, 95, 91
 90, 83, 95, 87, 104, 91
 93, 83, 97, 87, 101, 97
 85, 83, 89, 87, 93, 91
 87, 83, 92, 87, 96, 91
 91, 83, 95, 87, 107, 91
 93, 83, 97, 87, 102, 91
 85, 83, 89, 87, 92, 91
 85, 83, 91, 87, 100, 91
 89, 83, 94, 87, 98, 91
 93, 83, 98, 87, 102, 91
 85, 81, 90, 87, 93, 91
 87, 83, 92, 87, 96, 91
 91, 83, 96, 87, 100, 91
 95, 83, 98, 87, 103, 91
 87, 83, 91, 87, 95, 91
 85, 83, 89, 87, 93, 91
 93, 83, 98, 87, 101, 90
 91, 83, 94, 87, 99, 91
 87, 83, 93, 87, 105, 91
 85, 83, 89, 87, 93, 97
 93, 83, 98, 87, 102, 91
 91, 83, 95, 87, 107, 91
 85, 83, 91, 87, 101, 91
 85, 83, 89, 87, 93, 91
 93, 81, 97, 87, 101, 89
 91, 83, 95, 87, 99, 91
 87, 83, 91, 87, 95, 91
 85, 83, 89, 87, 94, 91
 93, 83, 97, 87, 101, 91
 91, 83, 95, 87, 100, 97
 93, 83, 98, 87, 108, 97
 91, 83, 96, 87, 107, 90
 87, 83, 92, 87, 103, 91
 85, 83, 91, 87, 99, 91
 93, 83, 97, 87, 102, 97
 91, 83, 96, 87, 113, 95
 85, 83, 91, 87, 100, 91
 85, 83, 89, 87, 93, 91
 93, 83, 99, 87, 102, 91
 91, 83, 96, 87, 100, 91
 87, 83, 93, 87, 96, 91
 85, 83, 89, 87, 93, 91
 93, 83, 98, 87, 102, 90
 91, 83, 95, 87, 98, 91
 87, 83, 91, 87, 96, 91
 85, 83, 89, 87, 93, 91
 91, 83, 96, 87, 106, 91
 93, 83, 98, 87, 109, 91
 85, 83, 89, 87, 93, 91
 87, 83, 91, 87, 96, 91
 91, 83, 95, 87, 105, 91
 93, 81, 97, 87, 101, 97
 85, 83, 89, 87, 93, 90
 87, 83, 91, 87, 95, 91
 91, 83, 96, 87, 107, 91
 93, 83, 97, 88, 101, 97
 85, 83, 90, 87, 93, 91
 87, 83, 93, 87, 103, 91
 90, 83, 95, 87, 105, 91
 93, 81, 98, 87, 109, 97
 83, 83, 89, 87, 93, 91
 87, 83, 91, 87, 101, 91
 87, 83, 92, 87, 101, 97
 85, 83, 89, 87, 93, 91
 93, 85, 98, 87, 109, 97
 91, 83, 97, 87, 109, 91
 87, 83, 91, 87, 102, 91
 85, 83, 89, 87, 99, 97
 93, 83, 98, 87, 102, 90
 91, 83, 95, 87, 105, 91
 87, 83, 91, 87, 95, 106
 85, 83, 91, 87, 94, 97
 93, 85, 98, 87, 102, 91
 91, 83, 96, 87, 107, 91
 86, 83, 91, 87, 96, 97
 85, 83, 89, 87, 93, 91
 93, 83, 97, 87, 101, 89
 91, 83, 95, 87, 105, 91
 85, 83, 89, 93, 101, 98
 87, 83, 93, 87, 102, 97
 91, 83, 95, 87, 100, 90
 93, 83, 98, 87, 109, 91
 85, 83, 89, 87, 93, 97
 87, 83, 91, 87, 101, 90
 91, 83, 95, 87, 99, 91
 93, 81, 97, 87, 103, 90
 85, 83, 91, 87, 95, 91
 87, 83, 91, 87, 95, 91
 91, 83, 96, 87, 100, 91
 93, 83, 97, 87, 102, 91
 85, 83, 89, 87, 94, 91
 87, 83, 91, 87, 96, 91
 91, 83, 95, 87, 99, 91
 93, 83, 97, 87, 101, 90
 85, 83, 90, 87, 100, 90
 87, 83, 92, 87, 102, 91
 91, 83, 95, 87, 99, 97
 93, 83, 98, 87, 103, 91
 85, 83, 89, 87, 94, 91
 87, 83, 91, 87, 95, 91
 91, 83, 95, 87, 99, 91
 93, 81, 99, 87, 102, 90
 85, 81, 91, 87, 94, 90
 87, 83, 93, 87, 96, 91
 91, 83, 97, 87, 115, 91
 93, 83, 98, 87, 103, 91
 83, 83, 89, 87, 93, 91
 85, 83, 90, 87, 94, 91
 89, 83, 93, 87, 97, 91
 93, 83, 98, 87, 102, 90
 87, 83, 91, 87, 95, 91
 85, 83, 89, 87, 98, 91
 93, 85, 98, 87, 109, 91
 91, 83, 96, 87, 107, 91
 87, 83, 91, 87, 94, 97
 83, 83, 89, 87, 93, 91
 93, 83, 98, 87, 109, 90
 89, 83, 94, 87, 99, 91
 87, 83, 92, 87, 96, 91
 85, 83, 89, 87, 94, 91
 93, 85, 97, 87, 101, 91
 91, 83, 95, 87, 100, 91
 87, 83, 91, 87, 94, 91
 83, 83, 89, 87, 93, 91
 93, 81, 97, 87, 101, 91
 89, 83, 93, 87, 98, 91
 91, 83, 96, 87, 99, 91
 93, 83, 97, 87, 102, 91
 85, 83, 89, 87, 93, 91
 87, 83, 91, 87, 95, 91
 91, 83, 95, 87, 107, 90
 93, 83, 98, 87, 101, 97
 83, 83, 87, 87, 92, 91
 87, 83, 93, 87, 104, 97
 91, 83, 95, 87, 106, 91
 93, 83, 97, 89, 108, 98
 85, 83, 91, 87, 94, 97
 87, 83, 92, 87, 95, 91
 91, 83, 95, 87, 107, 91
 93, 81, 97, 87, 109, 90
 85, 83, 89, 87, 93, 90
 85, 83, 89, 87, 94, 91
 93, 83, 98, 87, 108, 91
 91, 83, 95, 87, 100, 97
 87, 83, 93, 87, 96, 91
 85, 81, 90, 87, 101, 91
 93, 83, 97, 87, 101, 90
 91, 83, 95, 87, 99, 91
 87, 83, 91, 87, 95, 91
