 address, hash, clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 0x7f9a0f801740, 6, 85, 79, 94, 81, 99, 85
 0x7f9a0f801780, 5, 91, 85, 97, 91, 108, 101
 0x7f9a0f8017c0, 4, 93, 83, 97, 87, 101, 91
 0x7f9a0f801800, 0, 95, 85, 100, 89, 110, 91
 0x7f9a0f801840, 1, 93, 87, 97, 91, 107, 94
 0x7f9a0f801880, 2, 83, 79, 89, 83, 92, 92
 0x7f9a0f8018c0, 3, 93, 81, 97, 85, 101, 88
 0x7f9a0f801900, 4, 93, 83, 99, 87, 109, 91
 0x7f9a0f801940, 5, 92, 87, 96, 91, 100, 101
 0x7f9a0f801980, 6, 83, 79, 87, 81, 91, 86
 0x7f9a0f8019c0, 7, 91, 81, 95, 83, 99, 87
 0x7f9a0f801a00, 0, 95, 83, 99, 89, 111, 93
 0x7f9a0f801a40, 1, 93, 87, 97, 91, 100, 100
 0x7f9a0f801a80, 2, 83, 79, 89, 83, 92, 101
 0x7f9a0f801ac0, 3, 93, 81, 97, 85, 101, 88
 0x7f9a0f801b00, 4, 95, 83, 106, 88, 114, 91
 0x7f9a0f801b40, 5, 93, 85, 97, 91, 107, 104
 0x7f9a0f801b80, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f801bc0, 7, 91, 79, 95, 85, 100, 253
 0x7f9a0f801c00, 1, 93, 87, 97, 91, 122, 94
 0x7f9a0f801c40, 0, 95, 83, 99, 89, 109, 99
 0x7f9a0f801c80, 3, 91, 81, 97, 85, 101, 89
 0x7f9a0f801cc0, 2, 83, 79, 87, 83, 91, 87
 0x7f9a0f801d00, 5, 91, 87, 97, 91, 100, 93
 0x7f9a0f801d40, 4, 93, 85, 99, 87, 102, 91
 0x7f9a0f801d80, 7, 91, 81, 97, 84, 100, 87
 0x7f9a0f801dc0, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f801e00, 1, 91, 87, 97, 91, 101, 95
 0x7f9a0f801e40, 0, 94, 85, 99, 89, 103, 91
 0x7f9a0f801e80, 3, 93, 81, 97, 85, 101, 88
 0x7f9a0f801ec0, 2, 85, 77, 89, 83, 99, 86
 0x7f9a0f801f00, 5, 92, 85, 97, 91, 100, 94
 0x7f9a0f801f40, 4, 93, 85, 99, 87, 103, 91
 0x7f9a0f801f80, 7, 92, 81, 96, 83, 100, 88
 0x7f9a0f801fc0, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f802000, 1, 93, 85, 97, 89, 105, 93
 0x7f9a0f802040, 0, 95, 85, 99, 89, 110, 99
 0x7f9a0f802080, 3, 93, 81, 97, 85, 109, 89
 0x7f9a0f8020c0, 2, 83, 79, 89, 83, 92, 91
 0x7f9a0f802100, 5, 91, 87, 97, 90, 100, 93
 0x7f9a0f802140, 4, 93, 83, 99, 87, 111, 95
 0x7f9a0f802180, 7, 91, 81, 97, 85, 108, 93
 0x7f9a0f8021c0, 6, 83, 77, 87, 81, 91, 93
 0x7f9a0f802200, 1, 91, 85, 97, 91, 100, 94
 0x7f9a0f802240, 0, 95, 85, 99, 89, 110, 91
 0x7f9a0f802280, 3, 93, 81, 98, 85, 263, 88
 0x7f9a0f8022c0, 2, 85, 79, 89, 83, 91, 91
 0x7f9a0f802300, 5, 91, 87, 95, 91, 99, 93
 0x7f9a0f802340, 4, 93, 85, 98, 87, 102, 91
 0x7f9a0f802380, 7, 91, 79, 96, 84, 100, 87
 0x7f9a0f8023c0, 6, 83, 79, 87, 81, 91, 85
 0x7f9a0f802400, 0, 95, 85, 99, 89, 103, 92
 0x7f9a0f802440, 1, 91, 87, 96, 91, 107, 95
 0x7f9a0f802480, 2, 83, 79, 87, 83, 92, 93
 0x7f9a0f8024c0, 3, 93, 81, 97, 85, 101, 88
 0x7f9a0f802500, 4, 94, 85, 99, 87, 109, 91
 0x7f9a0f802540, 5, 91, 85, 97, 91, 107, 93
 0x7f9a0f802580, 6, 83, 77, 88, 81, 99, 93
 0x7f9a0f8025c0, 7, 91, 81, 95, 83, 99, 87
 0x7f9a0f802600, 0, 93, 85, 99, 89, 110, 92
 0x7f9a0f802640, 1, 93, 87, 97, 91, 107, 95
 0x7f9a0f802680, 2, 83, 79, 88, 83, 91, 86
 0x7f9a0f8026c0, 3, 93, 81, 97, 85, 109, 88
 0x7f9a0f802700, 4, 94, 83, 99, 87, 109, 91
 0x7f9a0f802740, 5, 91, 87, 95, 91, 99, 101
 0x7f9a0f802780, 6, 83, 79, 87, 81, 91, 85
 0x7f9a0f8027c0, 7, 92, 79, 97, 83, 106, 87
 0x7f9a0f802800, 3, 92, 79, 97, 85, 101, 88
 0x7f9a0f802840, 2, 83, 79, 87, 83, 92, 87
 0x7f9a0f802880, 1, 91, 87, 97, 91, 99, 94
 0x7f9a0f8028c0, 0, 95, 85, 99, 89, 103, 91
 0x7f9a0f802900, 7, 92, 79, 97, 84, 100, 87
 0x7f9a0f802940, 6, 83, 79, 87, 81, 91, 85
 0x7f9a0f802980, 5, 91, 87, 97, 91, 101, 94
 0x7f9a0f8029c0, 4, 93, 83, 98, 87, 103, 91
 0x7f9a0f802a00, 3, 93, 81, 97, 85, 101, 88
 0x7f9a0f802a40, 2, 83, 79, 87, 83, 92, 86
 0x7f9a0f802a80, 1, 93, 87, 97, 90, 100, 93
 0x7f9a0f802ac0, 0, 94, 83, 99, 89, 103, 92
 0x7f9a0f802b00, 7, 91, 81, 95, 84, 100, 87
 0x7f9a0f802b40, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f802b80, 5, 93, 85, 97, 90, 100, 93
 0x7f9a0f802bc0, 4, 93, 85, 97, 87, 102, 91
 0x7f9a0f802c00, 2, 83, 79, 89, 83, 99, 87
 0x7f9a0f802c40, 3, 93, 81, 97, 85, 109, 87
 0x7f9a0f802c80, 0, 95, 85, 99, 89, 104, 92
 0x7f9a0f802cc0, 1, 92, 87, 97, 91, 100, 94
 0x7f9a0f802d00, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f802d40, 7, 91, 81, 95, 84, 100, 87
 0x7f9a0f802d80, 4, 94, 83, 98, 87, 102, 91
 0x7f9a0f802dc0, 5, 92, 85, 97, 91, 109, 94
 0x7f9a0f802e00, 2, 83, 79, 89, 83, 91, 86
