 clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 89, 81, 95, 85, 255, 89
 91, 83, 95, 87, 107, 97
 87, 83, 91, 89, 95, 91
 85, 83, 89, 85, 93, 88
 89, 83, 93, 87, 103, 100
 91, 83, 96, 85, 109, 95
 87, 85, 92, 89, 96, 128
 85, 83, 89, 86, 93, 89
 89, 83, 93, 85, 103, 89
 91, 83, 95, 86, 107, 90
 87, 83, 91, 88, 95, 91
 85, 83, 89, 86, 99, 89
 89, 83, 94, 87, 104, 90
 93, 83, 97, 87, 101, 89
 87, 85, 93, 89, 95, 93
 85, 83, 89, 86, 93, 90
 91, 83, 95, 85, 99, 97
 89, 81, 93, 93, 113, 111
 85, 83, 89, 87, 93, 89
 87, 83, 91, 90, 109, 100
 93, 81, 103, 92, 114, 104
 97, 89, 101, 94, 107, 105
 85, 83, 99, 91, 134, 280
 95, 85, 101, 89, 160, 112
 91, 89, 101, 93, 117, 180
 89, 83, 99, 85, 113, 90
 83, 81, 89, 85, 93, 98
 85, 85, 91, 89, 95, 91
 91, 83, 96, 86, 101, 89
 89, 83, 93, 87, 104, 90
 85, 83, 91, 87, 101, 267
 89, 85, 99, 97, 105, 100
 94, 91, 99, 95, 132, 99
 85, 85, 97, 263, 466, 498
 89, 83, 102, 184, 368, 478
 91, 81, 97, 197, 427, 490
 87, 85, 93, 213, 456, 496
 85, 83, 91, 239, 355, 498
 89, 85, 95, 264, 368, 490
 91, 81, 97, 87, 466, 166
 87, 85, 97, 89, 188, 91
 85, 83, 89, 86, 101, 97
 89, 83, 93, 85, 107, 89
 91, 83, 95, 86, 107, 89
 87, 85, 93, 91, 104, 180
 85, 81, 89, 89, 93, 97
 89, 83, 93, 87, 97, 90
 91, 83, 97, 86, 108, 90
 85, 83, 89, 86, 99, 90
 87, 85, 91, 89, 95, 105
 91, 83, 95, 87, 107, 97
 89, 81, 93, 85, 104, 89
 87, 83, 95, 86, 101, 89
 87, 85, 91, 89, 103, 99
 91, 83, 95, 86, 99, 89
 87, 83, 93, 87, 97, 90
 85, 81, 89, 87, 99, 97
 87, 85, 92, 89, 96, 99
 91, 81, 96, 86, 100, 95
 89, 81, 94, 85, 257, 89
 85, 83, 90, 86, 100, 89
 87, 85, 93, 89, 96, 99
 92, 81, 97, 85, 102, 89
 89, 83, 93, 87, 105, 90
 91, 83, 95, 87, 108, 89
 88, 83, 93, 87, 97, 90
 85, 81, 91, 91, 101, 249
 95, 91, 99, 97, 105, 109
 99, 89, 103, 93, 111, 97
 95, 89, 100, 93, 105, 97
 91, 89, 95, 93, 100, 97
 87, 85, 91, 89, 103, 91
 93, 83, 102, 87, 109, 89
 89, 81, 93, 87, 105, 97
 85, 83, 90, 87, 101, 89
 89, 85, 93, 89, 103, 92
 91, 83, 97, 85, 106, 91
